Level-0-material_id,Unity
101,48.413980616366
102,48.413980616366
103,48.413980616366
104,48.413980616366
105,48.413980616366
106,48.413980616366
107,48.413980616366
108,48.413980616366
201,82.995395342341
202,82.995395342341
203,82.995395342341
204,82.995395342341
205,82.995395342341
206,82.995395342341
207,82.995395342341
208,82.995395342341
301,124.49309301351
302,124.49309301351
303,124.49309301351
304,124.49309301351
305,124.49309301351
306,124.49309301351
307,124.49309301351
308,124.49309301351
401,165.99079068468
402,165.99079068468
403,165.99079068468
404,165.99079068468
405,165.99079068468
406,165.99079068468
407,165.99079068468
408,165.99079068468
501,207.48848835585
502,207.48848835585
503,207.48848835585
504,207.48848835585
505,207.48848835585
506,207.48848835585
507,207.48848835585
508,207.48848835585
601,248.98618602702
602,248.98618602702
603,248.98618602702
604,248.98618602702
605,248.98618602702
606,248.98618602702
607,248.98618602702
608,248.98618602702
701,290.48388369819
702,290.48388369819
703,290.48388369819
704,290.48388369819
705,290.48388369819
706,290.48388369819
707,290.48388369819
708,290.48388369819
801,290.48388369819
802,290.48388369819
803,290.48388369819
804,290.48388369819
805,290.48388369819
806,290.48388369819
807,290.48388369819
808,290.48388369819
900,1329.0572477784
1100,27.595968951328
1200,47.307375345134
1300,70.961063017702
1400,94.614750690269
1500,118.26843836284
1600,141.9221260354
1700,165.57581370797
1800,165.57581370797
2000,94.69532890421
2100,36.956005203826
2200,63.353151777987
2300,95.02972766698
2400,126.70630355597
2500,158.38287944497
2600,190.05945533396
2700,221.73603122295
2800,221.73603122295
3100,126.81421239219
3300,210.09624293469
3400,292.79652276681
3500,14.969357309096
3600,20.861752247135
3700,20.046683180018
3800,27.937668214
3900,5066.9526000807
4000,4084.9183769564
4100,4490.614608853
4200,4896.3108407496
4300,6456.0326343273
4400,7345.8926310036
5500,361.02037275575
5600,291.05043435814
5700,319.95629088077
5800,348.8621474034
5900,459.99232519581
6000,483.4717272577
6100,389.76929513459
6200,428.47947726138
6300,467.18965938818
6400,616.01311385872
6500,38.002144500606
6600,30.636887827173
6700,33.679609566397
6800,36.722331305622
6900,48.420244757454
7000,160.45349900256
7100,129.35574860362
7200,142.20279594701
7300,155.0498432904
7400,204.44103342036
7500,927.10068850315
8000,843.55382413223
9100,427.71012812402
9300,387.19022124912
9400,352.29807921795
9500,101.29976718727
9900,523.394849959
9901,700.92058854159
9902,55.094194732527
9903,232.61993331511
