time,Flux1,Flux10,Flux10L0M0,Flux10L1M0,Flux10L1M1,Flux11,Flux11L0M0,Flux11L1M0,Flux11L1M1,Flux12,Flux12L0M0,Flux12L1M0,Flux12L1M1,Flux13,Flux13L0M0,Flux13L1M0,Flux13L1M1,Flux14,Flux14L0M0,Flux14L1M0,Flux14L1M1,Flux15,Flux15L0M0,Flux15L1M0,Flux15L1M1,Flux16,Flux16L0M0,Flux16L1M0,Flux16L1M1,Flux17,Flux17L0M0,Flux17L1M0,Flux17L1M1,Flux18,Flux18L0M0,Flux18L1M0,Flux18L1M1,Flux1L0M0,Flux1L1M0,Flux1L1M1,Flux2,Flux2L0M0,Flux2L1M0,Flux2L1M1,Flux3,Flux3L0M0,Flux3L1M0,Flux3L1M1,Flux4,Flux4L0M0,Flux4L1M0,Flux4L1M1,Flux5,Flux5L0M0,Flux5L1M0,Flux5L1M1,Flux6,Flux6L0M0,Flux6L1M0,Flux6L1M1,Flux7,Flux7L0M0,Flux7L1M0,Flux7L1M1,Flux8,Flux8L0M0,Flux8L1M0,Flux8L1M1,Flux9,Flux9L0M0,Flux9L1M0,Flux9L1M1,eigenvalue,integrated_power,power_scaling,Flux10_aux,Flux11_aux,Flux12_aux,Flux13_aux,Flux14_aux,Flux15_aux,Flux16_aux,Flux17_aux,Flux18_aux,Flux1_aux,Flux2_aux,Flux3_aux,Flux4_aux,Flux5_aux,Flux6_aux,Flux7_aux,Flux8_aux,Flux9_aux
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600000,6.0240917452706e+28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.9167529167108,20.812793593096,20.812793781219,3.0139553457986e-06,-3.2020785474957e-06,14.093843648259,14.093843763403,2.1846268752346e-06,-2.2997709910461e-06,10.243016680331,10.243016760525,1.5866009644427e-06,-1.6667950688345e-06,10.94319097178,10.943191044763,1.7851283503068e-06,-1.8581108659418e-06,9.8380977295406,9.8380977805127,1.6440713238308e-06,-1.6950434087448e-06,8.1004617916848,8.1004617966231,1.0516094532814e-06,-1.0565477670359e-06,15.701715545379,15.701715300591,5.9685362033268e-07,-3.5206553149897e-07,15.684395842041,15.684396258107,2.0000606761328e-06,-2.4161271689402e-06,3.7433499243708,3.7433510900611,9.1344439984153e-08,-1.2570346899585e-06,1.9167529805612,2.1738470956656e-07,-2.8123512223199e-07,13.583832788445,13.583833065936,5.7799012675996e-07,-8.5548163422655e-07,35.609583124223,35.60958343721,7.6914909952208e-07,-1.0821356296598e-06,24.7549473359,24.754948131297,4.3203533095504e-06,-5.1157500924881e-06,30.444929491202,30.444930862529,7.1265698591283e-06,-8.4978975140315e-06,40.992856430884,40.992857917989,9.1977175635805e-06,-1.0684822635859e-05,35.041300181669,35.041300891381,6.0220539580547e-06,-6.7317655181032e-06,24.152806248902,24.152806519945,2.9846961522861e-06,-3.2557390442639e-06,22.952713747889,22.952713982057,3.0246557459201e-06,-3.2588232793118e-06,1.0364111024221,600000,4.5817136444952e+15,20.812793593096,14.093843648259,10.243016680331,10.94319097178,9.8380977295406,8.1004617916848,15.701715545379,15.684395842041,3.7433499243708,1.9167529167108,13.583832788445,35.609583124223,24.7549473359,30.444929491202,40.992856430884,35.041300181669,24.152806248902,22.952713747889
