
=============================================================================================================================================================================

                                                                             Core map (t=0)

=============================================================================================================================================================================
 Block average:
  Blk ID          Volume Fission neutron           Power      Absorption     Scalar flux
       9        0.001328    0.000000e+00    0.000000e+00    1.497173e+01    1.009457e+02
      20        0.001174    0.000000e+00    0.000000e+00    0.000000e+00    5.731775e+00
      40        0.001290    0.000000e+00    0.000000e+00    0.000000e+00    5.820991e+00
      71        0.000037    3.451698e+02    4.596381e-09    2.096152e+02    6.436775e+01
      72        0.000063    3.379812e+02    4.500672e-09    2.052204e+02    6.301027e+01
      73        0.000095    3.280030e+02    4.367871e-09    1.991429e+02    6.092123e+01
      74        0.000127    3.147383e+02    4.191319e-09    1.910177e+02    5.807325e+01
      75        0.000158    2.991354e+02    3.983727e-09    1.814345e+02    5.453748e+01
      76        0.000190    2.823689e+02    3.760709e-09    1.711248e+02    5.040778e+01
      77        0.000222    2.683074e+02    3.573928e-09    1.621837e+02    4.579878e+01
      78        0.000222    2.720357e+02    3.624551e-09    1.634120e+02    4.141511e+01
      79        0.000127    0.000000e+00    0.000000e+00    5.267785e+00    3.890265e+01
      81        0.000028    3.766632e+02    5.016373e-09    2.292570e+02    6.960220e+01
      82        0.000047    3.692472e+02    4.917628e-09    2.246753e+02    6.817379e+01
      83        0.000071    3.592770e+02    4.784916e-09    2.185565e+02    6.595298e+01
      84        0.000095    3.454875e+02    4.601388e-09    2.100731e+02    6.292967e+01
      85        0.000118    3.281506e+02    4.370640e-09    1.994214e+02    5.918272e+01
      86        0.000142    3.110352e+02    4.142994e-09    1.887843e+02    5.483225e+01
      87        0.000166    2.980124e+02    3.970068e-09    1.802961e+02    5.002650e+01
      88        0.000166    3.052460e+02    4.067481e-09    1.835535e+02    4.553649e+01
      89        0.000095    0.000000e+00    0.000000e+00    5.846032e+00    4.296898e+01
     101        0.000048    6.216891e+02    8.279541e-09    3.765062e+02    1.101260e+02
     102        0.000083    6.100972e+02    8.125200e-09    3.695006e+02    1.078885e+02
     103        0.000124    5.926455e+02    7.892870e-09    3.588304e+02    1.044372e+02
     104        0.000166    5.706174e+02    7.599691e-09    3.452873e+02    9.974721e+01
     105        0.000207    5.435248e+02    7.239144e-09    3.287543e+02    9.394552e+01
     106        0.000249    5.158029e+02    6.870415e-09    3.116365e+02    8.723080e+01
     107        0.000290    4.966076e+02    6.615687e-09    2.992270e+02    7.983182e+01
     108        0.000290    5.149920e+02    6.862496e-09    3.082463e+02    7.277621e+01
     124        0.000161    0.000000e+00    0.000000e+00    2.315643e+00    2.006942e+01
     125        0.000129    0.000000e+00    0.000000e+00    1.551195e+00    1.514093e+01
     126        0.000142    0.000000e+00    0.000000e+00    1.120120e+00    1.185327e+01
     127        0.000155    0.000000e+00    0.000000e+00    8.082407e-01    8.911243e+00
     128        0.000204    0.000000e+00    0.000000e+00    5.451787e-01    5.793929e+00
     129        0.000233    0.000000e+00    0.000000e+00    0.000000e+00    4.324120e+00
     130        0.000401    0.000000e+00    0.000000e+00    0.000000e+00    3.307504e+00
