Block Name,Point ID,flux_moment_g0_L0_M0,flux_moment_g0_L1_M-1,flux_moment_g0_L1_M0,flux_moment_g0_L1_M1,flux_moment_g10_L0_M0,flux_moment_g10_L1_M-1,flux_moment_g10_L1_M0,flux_moment_g10_L1_M1,flux_moment_g11_L0_M0,flux_moment_g11_L1_M-1,flux_moment_g11_L1_M0,flux_moment_g11_L1_M1,flux_moment_g12_L0_M0,flux_moment_g12_L1_M-1,flux_moment_g12_L1_M0,flux_moment_g12_L1_M1,flux_moment_g13_L0_M0,flux_moment_g13_L1_M-1,flux_moment_g13_L1_M0,flux_moment_g13_L1_M1,flux_moment_g14_L0_M0,flux_moment_g14_L1_M-1,flux_moment_g14_L1_M0,flux_moment_g14_L1_M1,flux_moment_g15_L0_M0,flux_moment_g15_L1_M-1,flux_moment_g15_L1_M0,flux_moment_g15_L1_M1,flux_moment_g16_L0_M0,flux_moment_g16_L1_M-1,flux_moment_g16_L1_M0,flux_moment_g16_L1_M1,flux_moment_g17_L0_M0,flux_moment_g17_L1_M-1,flux_moment_g17_L1_M0,flux_moment_g17_L1_M1,flux_moment_g1_L0_M0,flux_moment_g1_L1_M-1,flux_moment_g1_L1_M0,flux_moment_g1_L1_M1,flux_moment_g2_L0_M0,flux_moment_g2_L1_M-1,flux_moment_g2_L1_M0,flux_moment_g2_L1_M1,flux_moment_g3_L0_M0,flux_moment_g3_L1_M-1,flux_moment_g3_L1_M0,flux_moment_g3_L1_M1,flux_moment_g4_L0_M0,flux_moment_g4_L1_M-1,flux_moment_g4_L1_M0,flux_moment_g4_L1_M1,flux_moment_g5_L0_M0,flux_moment_g5_L1_M-1,flux_moment_g5_L1_M0,flux_moment_g5_L1_M1,flux_moment_g6_L0_M0,flux_moment_g6_L1_M-1,flux_moment_g6_L1_M0,flux_moment_g6_L1_M1,flux_moment_g7_L0_M0,flux_moment_g7_L1_M-1,flux_moment_g7_L1_M0,flux_moment_g7_L1_M1,flux_moment_g8_L0_M0,flux_moment_g8_L1_M-1,flux_moment_g8_L1_M0,flux_moment_g8_L1_M1,flux_moment_g9_L0_M0,flux_moment_g9_L1_M-1,flux_moment_g9_L1_M0,flux_moment_g9_L1_M1,griffin_power_density,griffin_Tcool,griffin_Tfuel,material_id,Points_0,Points_1,Points_2,Points_Magnitude
block_101,10,0.00151603,-0.000630445,1.82614e-07,2.40222e-07,0.00569701,-0.000939825,7.71328e-07,8.0074e-07,0.00406231,-0.0006658,5.79994e-07,5.9842e-07,0.00427333,-0.000707342,6.51925e-07,6.7363e-07,0.00390694,-0.00066,6.47095e-07,6.70426e-07,0.00305254,-0.000483071,5.30086e-07,5.35668e-07,0.00453787,-0.00053992,8.08953e-07,7.67054e-07,0.00248783,-0.000146865,3.97033e-07,3.10062e-07,0.000303707,-7.50057e-06,2.79831e-08,9.56235e-09,0.00981004,-0.0037561,9.7657e-07,1.28422e-06,0.0223577,-0.00768584,2.24584e-06,2.8819e-06,0.0148111,-0.00459143,1.49311e-06,1.86724e-06,0.0169352,-0.00466711,1.72323e-06,2.10057e-06,0.0191879,-0.00442088,1.96559e-06,2.2986e-06,0.0144446,-0.00255527,1.48132e-06,1.60334e-06,0.00979522,-0.00152273,1.04598e-06,1.08945e-06,0.00936243,-0.00152806,1.09589e-06,1.15224e-06,0.00853693,-0.00139613,1.07845e-06,1.12436e-06,0,300,300,101,-0.364276,0.218077,1.778,1.82799
block_101,11,0.00151609,-0.000630462,3.13978e-07,1.4424e-07,0.0056973,-0.000939854,8.8346e-07,3.43173e-07,0.00406252,-0.000665822,6.60567e-07,2.55237e-07,0.00427357,-0.000707368,7.44051e-07,2.87491e-07,0.00390718,-0.000660026,7.42405e-07,2.87457e-07,0.00305272,-0.00048309,5.92011e-07,2.24695e-07,0.00453805,-0.000539935,8.22219e-07,2.9e-07,0.00248775,-0.00014686,3.21652e-07,8.94867e-08,0.000303707,-7.50059e-06,1.6093e-08,-2.22724e-10,0.00981043,-0.00375622,1.5805e-06,7.08254e-07,0.0223586,-0.00768609,3.4773e-06,1.54498e-06,0.0148118,-0.00459158,2.21652e-06,9.76883e-07,0.016936,-0.00466727,2.44831e-06,1.06486e-06,0.0191888,-0.00442103,2.61462e-06,1.10627e-06,0.0144452,-0.00255535,1.77787e-06,7.13481e-07,0.0097956,-0.00152277,1.19377e-06,4.64987e-07,0.00936284,-0.00152811,1.26565e-06,4.96739e-07,0.00853733,-0.00139617,1.23816e-06,4.8251e-07,0,300,300,101,-0.36195,0.626916,1.778,1.91972
block_101,12,0.000939504,-0.000569437,1.23857e-07,1.52402e-07,0.00199679,-0.00101914,3.41017e-07,2.55443e-07,0.00140816,-0.000718207,2.54347e-07,1.88035e-07,0.00147321,-0.000756051,2.84265e-07,2.10772e-07,0.00134675,-0.000696832,2.81331e-07,2.10125e-07,0.00102617,-0.000517818,2.27172e-07,1.60443e-07,0.00135539,-0.000626747,3.23428e-07,1.86503e-07,0.000582978,-0.000207102,1.38657e-07,3.30675e-08,7.13014e-05,-1.39328e-05,9.3229e-09,-3.59753e-09,0.00562416,-0.00340732,5.79302e-07,6.89512e-07,0.0121104,-0.0071456,1.27821e-06,1.45974e-06,0.00770127,-0.00439092,8.31902e-07,9.13829e-07,0.00837723,-0.00461092,9.34956e-07,9.85083e-07,0.0087972,-0.00460262,1.02253e-06,1.00176e-06,0.00589857,-0.00287516,7.21859e-07,6.0753e-07,0.00366726,-0.00176565,4.84889e-07,3.71599e-07,0.00340661,-0.00171159,4.97782e-07,3.84208e-07,0.00303012,-0.00153529,4.81529e-07,3.64265e-07,0,300,300,101,-0.364276,0.218077,0,0.424564
block_101,13,0.000939559,-0.000569457,2.29944e-07,9.32338e-08,0.00199709,-0.00101917,3.90993e-07,6.38315e-08,0.00140838,-0.000718234,2.89715e-07,4.57258e-08,0.00147346,-0.000756082,3.24971e-07,5.12899e-08,0.001347,-0.000696864,3.23902e-07,5.21591e-08,0.00102637,-0.00051784,2.52807e-07,3.53666e-08,0.00135569,-0.00062676,3.2073e-07,1.31322e-08,0.000583125,-0.000207087,1.00639e-07,-2.72462e-08,7.13259e-05,-1.39318e-05,3.9412e-09,-4.40314e-09,0.00562455,-0.00340746,1.02952e-06,3.72173e-07,0.0121113,-0.0071459,2.14626e-06,7.39544e-07,0.00770192,-0.00439111,1.3168e-06,4.36429e-07,0.00837801,-0.00461111,1.39708e-06,4.37789e-07,0.00879808,-0.0046028,1.40685e-06,3.93445e-07,0.00589919,-0.00287525,8.74264e-07,1.88761e-07,0.00366768,-0.00176569,5.52503e-07,9.61911e-08,0.00340704,-0.00171164,5.7596e-07,1.00911e-07,0.00303054,-0.00153534,5.53534e-07,9.24044e-08,0,300,300,101,-0.36195,0.626916,0,0.7239
block_101,14,0.00151622,-0.000630488,2.64986e-07,2.60518e-07,0.0056987,-0.000940085,1.0722e-06,9.08337e-07,0.00406359,-0.000665997,8.07605e-07,6.82599e-07,0.00427477,-0.000707567,9.075e-07,7.67818e-07,0.00390835,-0.000660227,8.99565e-07,7.6337e-07,0.00305375,-0.000483256,7.42103e-07,6.22266e-07,0.00454005,-0.000540168,1.16799e-06,9.3457e-07,0.00248943,-0.000146955,6.27883e-07,4.48464e-07,0.00030394,-7.50646e-06,5.76255e-08,3.30232e-08,0.00981124,-0.00375633,1.3856e-06,1.31306e-06,0.0223606,-0.00768641,3.12576e-06,2.92982e-06,0.0148133,-0.00459184,2.04695e-06,1.89677e-06,0.0169378,-0.00466762,2.34426e-06,2.13643e-06,0.0191913,-0.00442149,2.67532e-06,2.37157e-06,0.0144477,-0.00255573,2.04209e-06,1.74261e-06,0.00979752,-0.00152305,1.45401e-06,1.22036e-06,0.00936478,-0.00152841,1.51818e-06,1.28847e-06,0.00853927,-0.00139648,1.4979e-06,1.26856e-06,0,300,300,101,-0.7239,0.417944,1.778,1.96469
block_101,15,0.000939652,-0.000569492,1.86956e-07,1.73536e-07,0.0019979,-0.00101944,4.86571e-07,3.25676e-07,0.001409,-0.000718439,3.6395e-07,2.42798e-07,0.00147415,-0.000756312,4.06725e-07,2.71627e-07,0.00134767,-0.000697092,4.01836e-07,2.69609e-07,0.00102695,-0.000518028,3.28023e-07,2.16471e-07,0.00135676,-0.000627036,4.9097e-07,2.98841e-07,0.000583939,-0.000207211,2.47851e-07,1.26482e-07,7.14426e-05,-1.39406e-05,2.56895e-08,1.15972e-08,0.00562503,-0.00340762,8.58633e-07,7.35782e-07,0.0121126,-0.00714633,1.84205e-06,1.52927e-06,0.00770283,-0.00439146,1.17065e-06,9.44274e-07,0.00837918,-0.00461157,1.2989e-06,1.01166e-06,0.00879967,-0.00460339,1.41838e-06,1.04878e-06,0.00590069,-0.00287575,1.01803e-06,7.03573e-07,0.00366883,-0.00176605,6.91867e-07,4.62125e-07,0.00340819,-0.00171202,7.06387e-07,4.75357e-07,0.00303168,-0.00153572,6.86037e-07,4.59328e-07,0,300,300,101,-0.7239,0.417944,0,0.835888
block_101,16,0.00151605,-0.000630445,5.47647e-08,3.13908e-07,0.00569742,-0.000939926,3.20108e-07,1.19471e-06,0.00406262,-0.000665877,2.43944e-07,8.9496e-07,0.00427368,-0.00070743,2.74298e-07,1.00455e-06,0.00390727,-0.000660089,2.70304e-07,9.94982e-07,0.00305284,-0.000483144,2.33202e-07,8.08681e-07,0.00453863,-0.000540028,4.29105e-07,1.23435e-06,0.00248871,-0.000146919,2.96413e-07,6.04368e-07,0.000303803,-7.50312e-06,2.75221e-08,3.41218e-08,0.00981024,-0.0037561,3.2566e-07,1.70774e-06,0.0223582,-0.0076859,7.17329e-07,3.85205e-06,0.0148115,-0.00459152,4.53224e-07,2.50749e-06,0.0169357,-0.00466725,5.23021e-07,2.84769e-06,0.0191886,-0.00442108,6.39317e-07,3.18604e-06,0.0144453,-0.00255544,5.71386e-07,2.33707e-06,0.00979582,-0.00152285,4.40954e-07,1.63439e-06,0.009363,-0.0015282,4.479e-07,1.71433e-06,0.00853749,-0.00139626,4.45277e-07,1.67752e-06,0,300,300,101,-0.381395,-0.208972,1.778,1.83041
block_101,17,0.00151623,-0.00063049,2.14208e-07,5.29962e-07,0.00569853,-0.000940098,9.83424e-07,1.98233e-06,0.00406347,-0.000666007,7.43326e-07,1.49045e-06,0.00427463,-0.00070758,8.36508e-07,1.67784e-06,0.00390823,-0.000660241,8.2939e-07,1.66926e-06,0.00305365,-0.000483266,6.90771e-07,1.3609e-06,0.00454,-0.000540186,1.12521e-06,2.04432e-06,0.00248964,-0.00014697,6.5196e-07,9.65655e-07,0.000303962,-7.50695e-06,6.56914e-08,6.57211e-08,0.00981122,-0.00375632,1.13603e-06,2.73628e-06,0.0223606,-0.00768642,2.59824e-06,6.17968e-06,0.0148132,-0.00459186,1.72629e-06,4.04525e-06,0.0169377,-0.00466764,2.0122e-06,4.60234e-06,0.019191,-0.00442152,2.35659e-06,5.15785e-06,0.0144474,-0.00255575,1.85251e-06,3.79858e-06,0.00979731,-0.00152306,1.3354e-06,2.65825e-06,0.00936454,-0.00152843,1.38461e-06,2.80742e-06,0.00853904,-0.0013965,1.37126e-06,2.76708e-06,0,300,300,101,-0.7239,5.55112e-17,1.778,1.91972
block_101,18,0.00151622,-0.000630482,2.96569e-08,5.18766e-07,0.00569902,-0.000940228,3.64855e-07,2.14093e-06,0.00406385,-0.000666107,2.79134e-07,1.61234e-06,0.00427506,-0.000707693,3.1312e-07,1.81193e-06,0.00390864,-0.000660354,3.07184e-07,1.79584e-06,0.00305404,-0.000483363,2.70309e-07,1.481e-06,0.00454105,-0.000540334,5.27192e-07,2.34038e-06,0.00249099,-0.000147046,4.19324e-07,1.28442e-06,0.000304187,-7.51257e-06,5.60043e-08,1.19024e-07,0.00981131,-0.00375627,1.87232e-07,2.74371e-06,0.0223609,-0.00768637,4.75545e-07,6.2329e-06,0.0148134,-0.00459189,3.51984e-07,4.10157e-06,0.0169381,-0.00466773,4.6976e-07,4.70886e-06,0.0191916,-0.00442169,6.66046e-07,5.37733e-06,0.0144482,-0.00255594,6.55207e-07,4.08996e-06,0.00979804,-0.00152322,5.11567e-07,2.90803e-06,0.00936522,-0.0015286,5.07277e-07,3.03448e-06,0.00853972,-0.00139667,5.07788e-07,2.99213e-06,0,300,300,101,-0.7239,-0.417944,1.778,1.96469
block_101,19,0.0009395,-0.000569438,4.13698e-08,1.95142e-07,0.00199697,-0.00101925,1.60338e-07,3.76835e-07,0.00140829,-0.000718291,1.20999e-07,2.78201e-07,0.00147336,-0.000756146,1.35352e-07,3.10103e-07,0.00134689,-0.000696925,1.33272e-07,3.06686e-07,0.00102629,-0.000517895,1.12399e-07,2.40567e-07,0.00135564,-0.000626878,1.87747e-07,3.1276e-07,0.000583183,-0.000207181,1.1111e-07,1.03182e-07,7.13149e-05,-1.39381e-05,9.43215e-09,1.49296e-09,0.00562418,-0.00340734,2.1958e-07,8.92505e-07,0.0121105,-0.00714571,4.72731e-07,1.89183e-06,0.00770143,-0.00439104,2.96968e-07,1.18687e-06,0.00837748,-0.00461109,3.35403e-07,1.28929e-06,0.00879756,-0.00460286,3.89198e-07,1.34107e-06,0.00589891,-0.00287537,3.1675e-07,8.67762e-07,0.00366753,-0.0017658,2.2955e-07,5.52985e-07,0.00340687,-0.00171175,2.30558e-07,5.65207e-07,0.00303036,-0.00153545,2.25133e-07,5.37544e-07,0,300,300,101,-0.381395,-0.208972,0,0.434892
