Block Name,Point ID,flux_moment_g0_L0_M0,flux_moment_g0_L1_M-1,flux_moment_g0_L1_M0,flux_moment_g0_L1_M1,flux_moment_g10_L0_M0,flux_moment_g10_L1_M-1,flux_moment_g10_L1_M0,flux_moment_g10_L1_M1,flux_moment_g11_L0_M0,flux_moment_g11_L1_M-1,flux_moment_g11_L1_M0,flux_moment_g11_L1_M1,flux_moment_g12_L0_M0,flux_moment_g12_L1_M-1,flux_moment_g12_L1_M0,flux_moment_g12_L1_M1,flux_moment_g13_L0_M0,flux_moment_g13_L1_M-1,flux_moment_g13_L1_M0,flux_moment_g13_L1_M1,flux_moment_g14_L0_M0,flux_moment_g14_L1_M-1,flux_moment_g14_L1_M0,flux_moment_g14_L1_M1,flux_moment_g15_L0_M0,flux_moment_g15_L1_M-1,flux_moment_g15_L1_M0,flux_moment_g15_L1_M1,flux_moment_g16_L0_M0,flux_moment_g16_L1_M-1,flux_moment_g16_L1_M0,flux_moment_g16_L1_M1,flux_moment_g17_L0_M0,flux_moment_g17_L1_M-1,flux_moment_g17_L1_M0,flux_moment_g17_L1_M1,flux_moment_g1_L0_M0,flux_moment_g1_L1_M-1,flux_moment_g1_L1_M0,flux_moment_g1_L1_M1,flux_moment_g2_L0_M0,flux_moment_g2_L1_M-1,flux_moment_g2_L1_M0,flux_moment_g2_L1_M1,flux_moment_g3_L0_M0,flux_moment_g3_L1_M-1,flux_moment_g3_L1_M0,flux_moment_g3_L1_M1,flux_moment_g4_L0_M0,flux_moment_g4_L1_M-1,flux_moment_g4_L1_M0,flux_moment_g4_L1_M1,flux_moment_g5_L0_M0,flux_moment_g5_L1_M-1,flux_moment_g5_L1_M0,flux_moment_g5_L1_M1,flux_moment_g6_L0_M0,flux_moment_g6_L1_M-1,flux_moment_g6_L1_M0,flux_moment_g6_L1_M1,flux_moment_g7_L0_M0,flux_moment_g7_L1_M-1,flux_moment_g7_L1_M0,flux_moment_g7_L1_M1,flux_moment_g8_L0_M0,flux_moment_g8_L1_M-1,flux_moment_g8_L1_M0,flux_moment_g8_L1_M1,flux_moment_g9_L0_M0,flux_moment_g9_L1_M-1,flux_moment_g9_L1_M0,flux_moment_g9_L1_M1,griffin_power_density,griffin_Tcool,griffin_Tfuel,material_id,Points_0,Points_1,Points_2,Points_Magnitude
block_101,0,0.00151835,-0.000630385,1.71268e-07,-1.40856e-08,0.00568835,-0.000939035,3.34783e-07,-6.22964e-08,0.00403757,-0.000662992,2.47457e-07,-4.73133e-08,0.00427416,-0.000711202,2.81631e-07,-5.38573e-08,0.00389936,-0.00065923,2.81932e-07,-5.36965e-08,0.00304102,-0.000481448,2.17832e-07,-4.46691e-08,0.0045213,-0.000544361,2.64852e-07,-6.97996e-08,0.00248211,-0.000145308,7.2851e-08,-3.73039e-08,0.000304811,-7.83749e-06,2.69744e-09,-4.82889e-09,0.00981318,-0.00375765,7.92704e-07,-6.97121e-08,0.0223636,-0.00768613,1.69482e-06,-1.5965e-07,0.014793,-0.00458128,1.05387e-06,-1.07522e-07,0.0168986,-0.00466401,1.13083e-06,-1.2662e-07,0.0192044,-0.00442703,1.15295e-06,-1.49182e-07,0.0144667,-0.00255565,7.16377e-07,-1.15781e-07,0.00975907,-0.00152235,4.52461e-07,-8.23346e-08,0.00932936,-0.00153212,4.82863e-07,-8.60533e-08,0.00853954,-0.00139774,4.71644e-07,-8.63632e-08,0,300,300,101,0,0.835888,1.778,1.96469
block_101,1,0.00151834,-0.000630381,1.33784e-07,9.44289e-08,0.00568823,-0.000939017,4.08748e-07,4.02326e-07,0.00403748,-0.000662978,3.03456e-07,3.00808e-07,0.00427406,-0.000711187,3.44986e-07,3.40872e-07,0.00389925,-0.000659213,3.44613e-07,3.37144e-07,0.00304094,-0.000481436,2.70676e-07,2.7485e-07,0.00452122,-0.00054435,3.48036e-07,4.3092e-07,0.00248211,-0.000145308,1.08962e-07,2.02739e-07,0.000304799,-7.83718e-06,4.67545e-09,8.47615e-09,0.0098131,-0.00375763,6.89344e-07,5.47122e-07,0.0223634,-0.00768605,1.56636e-06,1.21583e-06,0.0147928,-0.00458122,1.03182e-06,7.74471e-07,0.0168983,-0.00466394,1.16649e-06,8.74181e-07,0.019204,-0.00442695,1.26673e-06,9.92052e-07,0.0144664,-0.00255561,8.48413e-07,7.54992e-07,0.0097589,-0.00152233,5.52477e-07,5.3824e-07,0.00932919,-0.0015321,5.85976e-07,5.70692e-07,0.00853936,-0.00139771,5.74536e-07,5.6384e-07,0,300,300,101,0.00636137,0.42521,1.778,1.82815
block_101,2,0.00151844,-0.000630403,1.63983e-07,-1.1374e-07,0.00568852,-0.000939064,3.26658e-07,-2.39763e-07,0.0040377,-0.000663014,2.4184e-07,-1.78498e-07,0.00427431,-0.000711227,2.75105e-07,-2.03348e-07,0.0038995,-0.000659255,2.76675e-07,-2.04376e-07,0.00304114,-0.000481468,2.12735e-07,-1.59469e-07,0.00452154,-0.00054439,2.2725e-07,-1.87531e-07,0.0024823,-0.00014532,2.98686e-08,-4.71494e-08,0.000304828,-7.83798e-06,2.2471e-09,-5.57126e-09,0.00981358,-0.00375773,7.25272e-07,-5.05999e-07,0.0223645,-0.00768629,1.58e-06,-1.10096e-06,0.0147935,-0.00458138,1.01916e-06,-7.06474e-07,0.0168991,-0.0046641,1.12239e-06,-7.78185e-07,0.0192049,-0.00442711,1.16796e-06,-8.15948e-07,0.014467,-0.00255571,7.22995e-07,-5.16631e-07,0.0097593,-0.00152239,4.42518e-07,-3.23128e-07,0.0093296,-0.00153216,4.68904e-07,-3.41485e-07,0.00853977,-0.00139778,4.58841e-07,-3.35926e-07,0,300,300,101,0.36195,0.626916,1.778,1.91972
block_101,3,0.000942794,-0.000571175,1.24351e-07,-2.09103e-08,0.00199396,-0.00101787,9.65935e-08,-9.40705e-08,0.00139786,-0.000712836,7.00272e-08,-7.04377e-08,0.00147024,-0.000755115,7.93297e-08,-7.97593e-08,0.0013468,-0.000697234,8.02323e-08,-7.89962e-08,0.00102242,-0.000515807,5.864e-08,-6.47879e-08,0.00133858,-0.000619202,5.54206e-08,-1.02075e-07,0.00058436,-0.00020767,5.63715e-09,-5.21603e-08,7.06515e-05,-1.38392e-05,-1.58606e-10,-3.98916e-09,0.0056293,-0.00340976,4.96812e-07,-1.19439e-07,0.0121278,-0.00715511,9.66832e-07,-2.71608e-07,0.00769982,-0.00438906,5.52974e-07,-1.7728e-07,0.00838217,-0.00461458,5.46161e-07,-2.0351e-07,0.0088202,-0.00461539,4.92292e-07,-2.33992e-07,0.0059205,-0.00288614,2.53069e-07,-1.7914e-07,0.00364521,-0.00175512,1.40462e-07,-1.26983e-07,0.00338105,-0.00169978,1.45595e-07,-1.33031e-07,0.00303593,-0.0015395,1.38961e-07,-1.31834e-07,0,300,300,101,0,0.835888,0,0.835888
block_101,4,0.000942778,-0.000571168,9.10922e-08,5.93396e-08,0.00199383,-0.00101785,1.64531e-07,1.70683e-07,0.00139777,-0.00071282,1.20813e-07,1.26327e-07,0.00147013,-0.000755097,1.36551e-07,1.42184e-07,0.0013467,-0.000697216,1.36866e-07,1.40949e-07,0.00102233,-0.000515794,1.05075e-07,1.12461e-07,0.00133845,-0.000619193,1.22333e-07,1.5793e-07,0.000584276,-0.000207675,3.07289e-08,5.94316e-08,7.06347e-05,-1.38392e-05,1.03618e-09,1.92871e-09,0.00562919,-0.00340972,4.14273e-07,2.96741e-07,0.0121275,-0.00715502,8.91103e-07,6.37701e-07,0.00769957,-0.00438899,5.6482e-07,4.02803e-07,0.00838184,-0.00461449,6.14518e-07,4.48403e-07,0.00881981,-0.00461529,6.2886e-07,4.93196e-07,0.00592022,-0.00288609,3.85275e-07,3.52624e-07,0.00364503,-0.0017551,2.34514e-07,2.37427e-07,0.00338087,-0.00169975,2.42368e-07,2.47371e-07,0.00303575,-0.00153947,2.34428e-07,2.41818e-07,0,300,300,101,0.00636137,0.42521,0,0.425257
block_101,5,0.000942864,-0.000571197,1.33816e-07,-1.0309e-07,0.00199409,-0.0010179,1.73194e-07,-1.92747e-07,0.00139796,-0.00071286,1.2745e-07,-1.43017e-07,0.00147035,-0.000755142,1.4411e-07,-1.61993e-07,0.00134691,-0.000697262,1.44845e-07,-1.61763e-07,0.0010225,-0.000515829,1.11275e-07,-1.28077e-07,0.00133872,-0.000619235,1.22847e-07,-1.71797e-07,0.000584437,-0.000207687,2.85457e-08,-6.86991e-08,7.06564e-05,-1.38401e-05,2.87575e-09,-5.69229e-09,0.00562962,-0.00340985,5.53543e-07,-4.56473e-07,0.0121284,-0.00715533,1.13099e-06,-9.5518e-07,0.00770019,-0.00438918,6.88682e-07,-5.88464e-07,0.00838254,-0.0046147,7.22766e-07,-6.30471e-07,0.00882057,-0.00461549,7.09951e-07,-6.48131e-07,0.00592075,-0.0028862,4.15778e-07,-4.17429e-07,0.00364538,-0.00175517,2.46044e-07,-2.66962e-07,0.00338123,-0.00169983,2.53118e-07,-2.77357e-07,0.0030361,-0.00153955,2.4563e-07,-2.71864e-07,0,300,300,101,0.36195,0.626916,0,0.7239
block_101,6,0.00151838,-0.000630387,-3.80144e-08,5.37553e-08,0.00568853,-0.000939079,-2.70768e-07,3.91842e-07,0.00403771,-0.000663025,-2.04449e-07,2.95675e-07,0.00427431,-0.00071124,-2.30478e-07,3.33964e-07,0.0038995,-0.000659267,-2.25944e-07,3.274e-07,0.00304115,-0.00048148,-1.93061e-07,2.78467e-07,0.0045217,-0.000544414,-3.49108e-07,5.11426e-07,0.00248257,-0.000145336,-2.22049e-07,3.14736e-07,0.000304848,-7.83851e-06,-1.84759e-08,1.94571e-08,0.00981333,-0.00375765,-2.42029e-07,3.71451e-07,0.0223639,-0.00768614,-5.56878e-07,8.23525e-07,0.0147932,-0.0045813,-3.64385e-07,5.104e-07,0.0168987,-0.00466404,-4.30924e-07,5.8424e-07,0.0192045,-0.00442708,-5.37095e-07,7.20133e-07,0.0144669,-0.00255572,-4.78189e-07,6.6062e-07,0.00975932,-0.0015224,-3.67725e-07,5.22328e-07,0.00932961,-0.00153218,-3.78991e-07,5.4919e-07,0.00853978,-0.0013978,-3.78386e-07,5.4726e-07,0,300,300,101,0.368245,0.217017,1.778,1.82866
block_101,7,0.00151847,-0.00063041,-3.88238e-08,-1.44196e-07,0.00568929,-0.000939209,-3.46137e-07,-3.69316e-07,0.00403828,-0.000663123,-2.61629e-07,-2.76485e-07,0.00427496,-0.000711353,-2.95799e-07,-3.14231e-07,0.00390014,-0.000659381,-2.9072e-07,-3.14557e-07,0.0030417,-0.000481572,-2.47915e-07,-2.51434e-07,0.00452268,-0.000544536,-4.50193e-07,-3.24967e-07,0.00248331,-0.000145378,-3.04441e-07,-1.07678e-07,0.000304972,-7.84163e-06,-3.34065e-08,-1.04241e-08,0.00981388,-0.00375776,-2.64458e-07,-6.18816e-07,0.0223653,-0.00768643,-6.41368e-07,-1.36224e-06,0.0147942,-0.00458151,-4.38742e-07,-8.95336e-07,0.0169,-0.0046643,-5.38687e-07,-1.00974e-06,0.0192062,-0.0044274,-6.93127e-07,-1.10204e-06,0.0144683,-0.00255595,-6.19846e-07,-7.51294e-07,0.00976037,-0.00152256,-4.72363e-07,-4.91951e-07,0.00933066,-0.00153235,-4.84416e-07,-5.18776e-07,0.00854084,-0.00139798,-4.83674e-07,-5.14694e-07,0,300,300,101,0.7239,0.417944,1.778,1.96469
block_101,8,0.0009428,-0.000571178,-2.7055e-08,3.3024e-08,0.00199395,-0.00101792,-1.34749e-07,2.09772e-07,0.00139786,-0.000712873,-1.0065e-07,1.56798e-07,0.00147023,-0.000755156,-1.12803e-07,1.76029e-07,0.00134679,-0.000697275,-1.10898e-07,1.73015e-07,0.00102241,-0.000515842,-9.24934e-08,1.43906e-07,0.0013386,-0.000619269,-1.49739e-07,2.34959e-07,0.000584378,-0.000207716,-8.05772e-08,1.22509e-07,7.06406e-05,-1.38418e-05,-5.94307e-09,7.82495e-09,0.0056293,-0.00340977,-1.51457e-07,1.96773e-07,0.0121277,-0.00715515,-3.4603e-07,4.49781e-07,0.00769975,-0.00438909,-2.29428e-07,2.96873e-07,0.00838206,-0.00461463,-2.69325e-07,3.53173e-07,0.00882008,-0.00461546,-3.23097e-07,4.4001e-07,0.00592046,-0.00288623,-2.64796e-07,3.83918e-07,0.0036452,-0.0017552,-1.90329e-07,2.87163e-07,0.00338104,-0.00169986,-1.93169e-07,2.98846e-07,0.00303592,-0.00153957,-1.90261e-07,2.95348e-07,0,300,300,101,0.368245,0.217017,0,0.427435
block_101,9,0.000942875,-0.000571206,-2.17123e-08,-1.29217e-07,0.00199449,-0.00101807,-1.54457e-07,-2.57603e-07,0.00139826,-0.000712987,-1.15605e-07,-1.9195e-07,0.00147069,-0.000755286,-1.30027e-07,-2.1699e-07,0.00134724,-0.000697404,-1.28212e-07,-2.16159e-07,0.00102279,-0.000515946,-1.06926e-07,-1.74102e-07,0.00133926,-0.000619407,-1.75468e-07,-2.45523e-07,0.000584867,-0.000207766,-1.07303e-07,-1.06105e-07,7.07196e-05,-1.38457e-05,-1.34286e-08,-8.21697e-09,0.00562972,-0.00340991,-1.27109e-07,-5.53946e-07,0.0121288,-0.00715552,-3.21799e-07,-1.153e-06,0.00770055,-0.00438936,-2.3286e-07,-7.12643e-07,0.00838308,-0.00461496,-2.92464e-07,-7.67882e-07,0.00882136,-0.00461586,-3.71642e-07,-8.0368e-07,0.00592152,-0.00288652,-3.10189e-07,-5.41644e-07,0.00364596,-0.0017554,-2.20644e-07,-3.55729e-07,0.0033818,-0.00170007,-2.21481e-07,-3.67573e-07,0.00303667,-0.00153978,-2.18212e-07,-3.62051e-07,0,300,300,101,0.7239,0.417944,0,0.835888
