Block Name,Point ID,flux_moment_g0_L0_M0,flux_moment_g0_L1_M-1,flux_moment_g0_L1_M0,flux_moment_g0_L1_M1,flux_moment_g10_L0_M0,flux_moment_g10_L1_M-1,flux_moment_g10_L1_M0,flux_moment_g10_L1_M1,flux_moment_g11_L0_M0,flux_moment_g11_L1_M-1,flux_moment_g11_L1_M0,flux_moment_g11_L1_M1,flux_moment_g12_L0_M0,flux_moment_g12_L1_M-1,flux_moment_g12_L1_M0,flux_moment_g12_L1_M1,flux_moment_g13_L0_M0,flux_moment_g13_L1_M-1,flux_moment_g13_L1_M0,flux_moment_g13_L1_M1,flux_moment_g14_L0_M0,flux_moment_g14_L1_M-1,flux_moment_g14_L1_M0,flux_moment_g14_L1_M1,flux_moment_g15_L0_M0,flux_moment_g15_L1_M-1,flux_moment_g15_L1_M0,flux_moment_g15_L1_M1,flux_moment_g16_L0_M0,flux_moment_g16_L1_M-1,flux_moment_g16_L1_M0,flux_moment_g16_L1_M1,flux_moment_g17_L0_M0,flux_moment_g17_L1_M-1,flux_moment_g17_L1_M0,flux_moment_g17_L1_M1,flux_moment_g1_L0_M0,flux_moment_g1_L1_M-1,flux_moment_g1_L1_M0,flux_moment_g1_L1_M1,flux_moment_g2_L0_M0,flux_moment_g2_L1_M-1,flux_moment_g2_L1_M0,flux_moment_g2_L1_M1,flux_moment_g3_L0_M0,flux_moment_g3_L1_M-1,flux_moment_g3_L1_M0,flux_moment_g3_L1_M1,flux_moment_g4_L0_M0,flux_moment_g4_L1_M-1,flux_moment_g4_L1_M0,flux_moment_g4_L1_M1,flux_moment_g5_L0_M0,flux_moment_g5_L1_M-1,flux_moment_g5_L1_M0,flux_moment_g5_L1_M1,flux_moment_g6_L0_M0,flux_moment_g6_L1_M-1,flux_moment_g6_L1_M0,flux_moment_g6_L1_M1,flux_moment_g7_L0_M0,flux_moment_g7_L1_M-1,flux_moment_g7_L1_M0,flux_moment_g7_L1_M1,flux_moment_g8_L0_M0,flux_moment_g8_L1_M-1,flux_moment_g8_L1_M0,flux_moment_g8_L1_M1,flux_moment_g9_L0_M0,flux_moment_g9_L1_M-1,flux_moment_g9_L1_M0,flux_moment_g9_L1_M1,griffin_power_density,griffin_Tcool,griffin_Tfuel,material_id,Points_0,Points_1,Points_2,Points_Magnitude
block_101,0,0.00151644,-0.000629014,1.70035e-07,-1.39166e-08,0.00569118,-0.000939029,3.3277e-07,-6.20693e-08,0.00405613,-0.000665402,2.47575e-07,-4.71587e-08,0.00427478,-0.000709019,2.80399e-07,-5.35052e-08,0.00391472,-0.000661071,2.81579e-07,-5.35056e-08,0.00305145,-0.000483093,2.1811e-07,-4.45529e-08,0.00454231,-0.000539673,2.6503e-07,-6.94142e-08,0.0024894,-0.000146939,7.29082e-08,-3.71524e-08,0.000303046,-7.49555e-06,2.67276e-09,-4.77673e-09,0.00981437,-0.00375472,7.88844e-07,-6.92672e-08,0.0223696,-0.00768138,1.68592e-06,-1.58732e-07,0.0147848,-0.00458251,1.04842e-06,-1.06911e-07,0.0169243,-0.00466432,1.12622e-06,-1.2593e-07,0.0191902,-0.00442236,1.14617e-06,-1.48202e-07,0.0144412,-0.00255236,7.10334e-07,-1.15067e-07,0.00976476,-0.00151685,4.5037e-07,-8.18644e-08,0.00932802,-0.0015211,4.79989e-07,-8.53631e-08,0.00851209,-0.00139176,4.66638e-07,-8.56672e-08,0,300,300,101,0,0.835888,1.778,1.96469
block_101,1,0.00151643,-0.00062901,1.32894e-07,9.38003e-08,0.00569106,-0.000939011,4.0643e-07,4.00427e-07,0.00405604,-0.000665388,3.03485e-07,3.00852e-07,0.00427468,-0.000709004,3.43413e-07,3.39294e-07,0.00391462,-0.000661055,3.44118e-07,3.36721e-07,0.00305137,-0.000483081,2.7085e-07,2.74742e-07,0.00454223,-0.000539663,3.48043e-07,4.30834e-07,0.0024894,-0.000146939,1.0898e-07,2.02698e-07,0.000303034,-7.49521e-06,4.62408e-09,8.35143e-09,0.00981429,-0.00375469,6.8598e-07,5.44974e-07,0.0223694,-0.0076813,1.55868e-06,1.21031e-06,0.0147846,-0.00458245,1.02627e-06,7.70097e-07,0.0169239,-0.00466425,1.16166e-06,8.70817e-07,0.0191898,-0.00442228,1.25921e-06,9.86065e-07,0.0144409,-0.00255232,8.41594e-07,7.49375e-07,0.00976459,-0.00151682,5.49886e-07,5.35823e-07,0.00932785,-0.00152108,5.8247e-07,5.67623e-07,0.00851192,-0.00139174,5.68727e-07,5.58877e-07,0,300,300,101,0.00636137,0.42521,1.778,1.82815
block_101,2,0.00151652,-0.000629032,1.6268e-07,-1.12778e-07,0.00569135,-0.000939058,3.24676e-07,-2.3844e-07,0.00405626,-0.000665424,2.41767e-07,-1.78294e-07,0.00427493,-0.000709044,2.73836e-07,-2.02287e-07,0.00391486,-0.000661096,2.76139e-07,-2.03881e-07,0.00305157,-0.000483113,2.12931e-07,-1.5948e-07,0.00454255,-0.000539702,2.27069e-07,-1.87021e-07,0.00248959,-0.00014695,2.98015e-08,-4.69785e-08,0.000303063,-7.49601e-06,2.24415e-09,-5.5247e-09,0.00981477,-0.00375479,7.21174e-07,-5.03151e-07,0.0223705,-0.00768154,1.57106e-06,-1.09476e-06,0.0147853,-0.0045826,1.01384e-06,-7.02767e-07,0.0169247,-0.00466442,1.1174e-06,-7.74612e-07,0.0191907,-0.00442244,1.16102e-06,-8.11008e-07,0.0144415,-0.00255241,7.17116e-07,-5.12597e-07,0.00976499,-0.00151688,4.40277e-07,-3.21434e-07,0.00932826,-0.00152114,4.65715e-07,-3.39016e-07,0.00851232,-0.0013918,4.53923e-07,-3.32481e-07,0,300,300,101,0.36195,0.626916,1.778,1.91972
block_101,3,0.000938142,-0.000568575,1.22415e-07,-2.07954e-08,0.00199195,-0.00101661,9.5642e-08,-9.35976e-08,0.00140445,-0.000716537,6.99653e-08,-7.04446e-08,0.001473,-0.000756495,7.90398e-08,-7.94187e-08,0.00134865,-0.000697836,7.9569e-08,-7.88481e-08,0.0010258,-0.000517854,5.85653e-08,-6.47425e-08,0.00135598,-0.000626732,5.64059e-08,-1.02257e-07,0.000583197,-0.000207197,5.51428e-09,-5.20339e-08,7.12541e-05,-1.39674e-05,-1.38754e-10,-3.96751e-09,0.00562546,-0.00340793,4.94192e-07,-1.18929e-07,0.0121182,-0.00714878,9.6053e-07,-2.70353e-07,0.00768965,-0.00438414,5.49458e-07,-1.76256e-07,0.00837331,-0.00460862,5.41714e-07,-2.02698e-07,0.00880299,-0.00460609,4.87885e-07,-2.32564e-07,0.0058973,-0.00287399,2.49829e-07,-1.77778e-07,0.00365448,-0.00175876,1.40008e-07,-1.26475e-07,0.003391,-0.00170297,1.45288e-07,-1.32391e-07,0.00301751,-0.00152854,1.36578e-07,-1.30577e-07,0,300,300,101,0,0.835888,0,0.835888
block_101,4,0.000938126,-0.000568569,8.97767e-08,5.85689e-08,0.00199183,-0.00101659,1.63213e-07,1.69616e-07,0.00140435,-0.000716522,1.20736e-07,1.26357e-07,0.00147289,-0.000756477,1.36042e-07,1.41764e-07,0.00134854,-0.000697817,1.36073e-07,1.40374e-07,0.00102571,-0.00051784,1.0496e-07,1.12359e-07,0.00135585,-0.000626723,1.23566e-07,1.59299e-07,0.000583112,-0.000207201,3.05341e-08,5.90556e-08,7.12374e-05,-1.39674e-05,1.05563e-09,1.95777e-09,0.00562535,-0.00340789,4.12054e-07,2.95452e-07,0.0121179,-0.00714868,8.85852e-07,6.34188e-07,0.0076894,-0.00438407,5.61137e-07,4.00162e-07,0.00837298,-0.00460853,6.09988e-07,4.45593e-07,0.0088026,-0.004606,6.23775e-07,4.89593e-07,0.00589703,-0.00287394,3.81087e-07,3.49225e-07,0.0036543,-0.00175873,2.337e-07,2.36711e-07,0.00339082,-0.00170294,2.41634e-07,2.46718e-07,0.00301733,-0.00152851,2.31117e-07,2.38965e-07,0,300,300,101,0.00636137,0.42521,0,0.425257
block_101,5,0.000938211,-0.000568597,1.3198e-07,-1.01861e-07,0.00199208,-0.00101665,1.71784e-07,-1.91468e-07,0.00140454,-0.000716561,1.27348e-07,-1.42964e-07,0.0014731,-0.000756522,1.43561e-07,-1.61315e-07,0.00134875,-0.000697863,1.44125e-07,-1.61194e-07,0.00102588,-0.000517876,1.11203e-07,-1.2799e-07,0.00135612,-0.000626766,1.23645e-07,-1.7242e-07,0.000583273,-0.000207214,2.83886e-08,-6.85088e-08,7.1259e-05,-1.39682e-05,2.8549e-09,-5.65858e-09,0.00562578,-0.00340803,5.50295e-07,-4.54062e-07,0.0121188,-0.00714899,1.12383e-06,-9.49652e-07,0.00769002,-0.00438426,6.84513e-07,-5.84974e-07,0.00837368,-0.00460873,7.17587e-07,-6.26652e-07,0.00880335,-0.0046062,7.04363e-07,-6.43442e-07,0.00589755,-0.00287406,4.11476e-07,-4.13577e-07,0.00365465,-0.0017588,2.45038e-07,-2.65879e-07,0.00339118,-0.00170302,2.52077e-07,-2.76107e-07,0.00301768,-0.00152858,2.42271e-07,-2.68658e-07,0,300,300,101,0.36195,0.626916,0,0.7239
block_101,6,0.00151646,-0.000629016,-3.77151e-08,5.33499e-08,0.00569135,-0.000939072,-2.69645e-07,3.90361e-07,0.00405626,-0.000665435,-2.04334e-07,2.95612e-07,0.00427493,-0.000709057,-2.29331e-07,3.32334e-07,0.00391486,-0.000661109,-2.25719e-07,3.27007e-07,0.00305159,-0.000483125,-1.92725e-07,2.78004e-07,0.00454271,-0.000539725,-3.48983e-07,5.11095e-07,0.00248986,-0.000146967,-2.21778e-07,3.14439e-07,0.000303082,-7.49643e-06,-1.82304e-08,1.91773e-08,0.00981452,-0.00375472,-2.41146e-07,3.70439e-07,0.0223699,-0.00768139,-5.54508e-07,8.20264e-07,0.0147849,-0.00458253,-3.62178e-07,5.07226e-07,0.0169244,-0.00466435,-4.29479e-07,5.82194e-07,0.0191903,-0.00442241,-5.33813e-07,7.1565e-07,0.0144414,-0.00255242,-4.75084e-07,6.5633e-07,0.00976502,-0.0015169,-3.66106e-07,5.20036e-07,0.00932827,-0.00152116,-3.77124e-07,5.46472e-07,0.00851233,-0.00139182,-3.75505e-07,5.43196e-07,0,300,300,101,0.368245,0.217017,1.778,1.82866
block_101,7,0.00151656,-0.000629039,-3.86001e-08,-1.4301e-07,0.00569211,-0.000939202,-3.44658e-07,-3.6736e-07,0.00405684,-0.000665533,-2.61507e-07,-2.7626e-07,0.00427558,-0.000709169,-2.94344e-07,-3.12731e-07,0.00391551,-0.000661223,-2.90511e-07,-3.13934e-07,0.00305214,-0.000483217,-2.47543e-07,-2.51383e-07,0.00454369,-0.000539846,-4.50202e-07,-3.24379e-07,0.00249061,-0.000147008,-3.04073e-07,-1.07365e-07,0.000303205,-7.49952e-06,-3.30438e-08,-1.03157e-08,0.00981507,-0.00375483,-2.63678e-07,-6.1515e-07,0.0223713,-0.00768167,-6.39117e-07,-1.35446e-06,0.014786,-0.00458274,-4.3611e-07,-8.9069e-07,0.0169257,-0.00466462,-5.37031e-07,-1.0053e-06,0.019192,-0.00442272,-6.88989e-07,-1.09548e-06,0.0144429,-0.00255265,-6.15768e-07,-7.45726e-07,0.00976605,-0.00151706,-4.70365e-07,-4.89466e-07,0.00932932,-0.00152133,-4.82113e-07,-5.15339e-07,0.00851338,-0.001392,-4.79871e-07,-5.09786e-07,0,300,300,101,0.7239,0.417944,1.778,1.96469
block_101,8,0.000938148,-0.000568578,-2.68008e-08,3.27749e-08,0.00199194,-0.00101666,-1.34041e-07,2.08783e-07,0.00140444,-0.000716575,-1.00653e-07,1.56895e-07,0.00147299,-0.000756536,-1.12452e-07,1.75549e-07,0.00134864,-0.000697876,-1.10622e-07,1.72634e-07,0.00102579,-0.000517888,-9.23739e-08,1.43778e-07,0.001356,-0.0006268,-1.50696e-07,2.36435e-07,0.000583214,-0.000207243,-8.01433e-08,1.2183e-07,7.12435e-05,-1.397e-05,-5.97491e-09,7.83911e-09,0.00562546,-0.00340794,-1.50874e-07,1.96263e-07,0.0121181,-0.00714882,-3.44314e-07,4.47755e-07,0.00768957,-0.00438417,-2.27919e-07,2.94931e-07,0.0083732,-0.00460866,-2.68182e-07,3.51827e-07,0.00880286,-0.00460617,-3.21054e-07,4.37401e-07,0.00589726,-0.00287408,-2.62638e-07,3.80902e-07,0.00365447,-0.00175883,-1.89819e-07,2.86373e-07,0.00339099,-0.00170304,-1.92676e-07,2.98036e-07,0.0030175,-0.00152861,-1.88412e-07,2.92568e-07,0,300,300,101,0.368245,0.217017,0,0.427435
block_101,9,0.000938223,-0.000568607,-2.15403e-08,-1.27572e-07,0.00199248,-0.00101681,-1.53616e-07,-2.55956e-07,0.00140485,-0.000716689,-1.15582e-07,-1.91892e-07,0.00147344,-0.000756665,-1.29574e-07,-2.16182e-07,0.00134908,-0.000698005,-1.27861e-07,-2.1547e-07,0.00102617,-0.000517992,-1.06767e-07,-1.73957e-07,0.00135666,-0.000626938,-1.76756e-07,-2.46469e-07,0.000583701,-0.000207292,-1.06773e-07,-1.05718e-07,7.13223e-05,-1.39739e-05,-1.34445e-08,-8.16624e-09,0.00562588,-0.00340808,-1.26732e-07,-5.50829e-07,0.0121192,-0.00714918,-3.20478e-07,-1.14608e-06,0.00769037,-0.00438444,-2.31288e-07,-7.08368e-07,0.00837421,-0.00460899,-2.91327e-07,-7.63155e-07,0.00880414,-0.00460656,-3.69305e-07,-7.97836e-07,0.00589832,-0.00287437,-3.07601e-07,-5.36802e-07,0.00365523,-0.00175903,-2.2013e-07,-3.54364e-07,0.00339175,-0.00170325,-2.20997e-07,-3.66079e-07,0.00301825,-0.00152882,-2.15974e-07,-3.58012e-07,0,300,300,101,0.7239,0.417944,0,0.835888
