x,y,z,nuFissRate,nuFissRateRelError,scalarFlux,scalarFluxRelError
0.0,0.835888,1.778,0.005849504,1.2405631415010776,0.1122643,0.597991614549734
0.00636137,0.42521,1.778,0.005849504,1.2405631415010776,0.1122643,0.597991614549734
0.36195,0.626916,1.778,0.005849504,1.2405631415010776,0.1122643,0.597991614549734
0.0,0.835888,0.0,0.005849504,1.2405631415010776,0.1122643,0.597991614549734
0.00636137,0.42521,0.0,0.005849504,1.2405631415010776,0.1122643,0.597991614549734
0.36195,0.626916,0.0,0.005849504,1.2405631415010776,0.1122643,0.597991614549734
0.368245,0.217017,1.778,0.005849504,1.2405631415010776,0.1122643,0.597991614549734
0.7239,0.417944,1.778,0.005849504,1.2405631415010776,0.1122643,0.597991614549734
0.368245,0.217017,0.0,0.005849504,1.2405631415010776,0.1122643,0.597991614549734
0.7239,0.417944,0.0,0.005849504,1.2405631415010776,0.1122643,0.597991614549734
-0.364276,0.218077,1.778,0.005849504,1.2405631415010776,0.1122643,0.597991614549734
-0.36195,0.626916,1.778,0.005849504,1.2405631415010776,0.1122643,0.597991614549734
-0.364276,0.218077,0.0,0.005849504,1.2405631415010776,0.1122643,0.597991614549734
-0.36195,0.626916,0.0,0.005849504,1.2405631415010776,0.1122643,0.597991614549734
-0.7239,0.417944,1.778,0.005849504,1.2405631415010776,0.1122643,0.597991614549734
-0.7239,0.417944,0.0,0.005849504,1.2405631415010776,0.1122643,0.597991614549734
-0.381395,-0.208972,1.778,0.005849504,1.2405631415010776,0.1122643,0.597991614549734
-0.7239,5.55112e-17,1.778,0.005849504,1.2405631415010776,0.1122643,0.597991614549734
-0.7239,-0.417944,1.778,0.005849504,1.2405631415010776,0.1122643,0.597991614549734
-0.381395,-0.208972,0.0,0.005849504,1.2405631415010776,0.1122643,0.597991614549734
-0.7239,5.55112e-17,0.0,0.005849504,1.2405631415010776,0.1122643,0.597991614549734
-0.7239,-0.417944,0.0,0.005849504,1.2405631415010776,0.1122643,0.597991614549734
0.0,-0.835888,1.778,0.005849504,1.2405631415010776,0.1122643,0.597991614549734
-0.00972244,-0.434784,1.778,0.005849504,1.2405631415010776,0.1122643,0.597991614549734
-0.36195,-0.626916,1.778,0.005849504,1.2405631415010776,0.1122643,0.597991614549734
0.0,-0.835888,0.0,0.005849504,1.2405631415010776,0.1122643,0.597991614549734
