
=============================================================================================================================================================================

                                                                             Core map (t=0)

=============================================================================================================================================================================
 Block average:
  Blk ID          Volume Fission neutron           Power      Absorption     Scalar flux
       9        0.001328    0.000000e+00    0.000000e+00    1.496711e+01    1.009124e+02
      20        0.001174    0.000000e+00    0.000000e+00    0.000000e+00    5.728767e+00
      40        0.001290    0.000000e+00    0.000000e+00    0.000000e+00    5.819965e+00
      71        0.000037    3.450679e+02    4.595037e-09    2.095618e+02    6.435468e+01
      72        0.000063    3.378830e+02    4.499351e-09    2.052026e+02    6.300777e+01
      73        0.000095    3.280493e+02    4.368470e-09    1.992335e+02    6.091963e+01
      74        0.000127    3.147272e+02    4.191177e-09    1.910482e+02    5.806946e+01
      75        0.000158    2.989530e+02    3.981282e-09    1.813955e+02    5.453262e+01
      76        0.000190    2.820250e+02    3.756121e-09    1.709472e+02    5.039895e+01
      77        0.000222    2.683318e+02    3.574252e-09    1.621855e+02    4.579056e+01
      78        0.000222    2.723076e+02    3.628178e-09    1.635831e+02    4.141040e+01
      79        0.000127    0.000000e+00    0.000000e+00    5.271962e+00    3.889652e+01
      81        0.000028    3.767657e+02    5.017703e-09    2.292544e+02    6.958615e+01
      82        0.000047    3.695535e+02    4.921714e-09    2.248237e+02    6.814592e+01
      83        0.000071    3.599687e+02    4.794135e-09    2.188620e+02    6.593581e+01
      84        0.000095    3.456449e+02    4.603492e-09    2.101764e+02    6.290653e+01
      85        0.000118    3.283506e+02    4.373335e-09    1.995608e+02    5.914908e+01
      86        0.000142    3.107686e+02    4.139444e-09    1.886497e+02    5.479626e+01
      87        0.000166    2.978529e+02    3.967956e-09    1.802951e+02    4.998886e+01
      88        0.000166    3.049199e+02    4.063143e-09    1.833787e+02    4.550662e+01
      89        0.000095    0.000000e+00    0.000000e+00    5.844748e+00    4.294268e+01
     101        0.000048    6.220228e+02    8.284009e-09    3.767451e+02    1.100676e+02
     102        0.000083    6.097546e+02    8.120660e-09    3.693388e+02    1.078343e+02
     103        0.000124    5.929931e+02    7.897521e-09    3.590581e+02    1.043846e+02
     104        0.000166    5.697258e+02    7.587811e-09    3.448229e+02    9.968283e+01
     105        0.000207    5.435689e+02    7.239745e-09    3.287316e+02    9.388683e+01
     106        0.000249    5.160170e+02    6.873268e-09    3.117511e+02    8.717605e+01
     107        0.000290    4.966110e+02    6.615726e-09    2.991986e+02    7.978142e+01
     108        0.000290    5.147508e+02    6.859300e-09    3.081836e+02    7.273089e+01
     124        0.000161    0.000000e+00    0.000000e+00    2.314665e+00    2.005820e+01
     125        0.000129    0.000000e+00    0.000000e+00    1.550432e+00    1.513257e+01
     126        0.000142    0.000000e+00    0.000000e+00    1.119549e+00    1.184687e+01
     127        0.000155    0.000000e+00    0.000000e+00    8.078237e-01    8.906525e+00
     128        0.000204    0.000000e+00    0.000000e+00    5.448971e-01    5.790926e+00
     129        0.000233    0.000000e+00    0.000000e+00    0.000000e+00    4.321944e+00
     130        0.000401    0.000000e+00    0.000000e+00    0.000000e+00    3.305848e+00
     133        0.000038    0.000000e+00    0.000000e+00    2.147399e+00    1.601191e+01
     134        0.000031    0.000000e+00    0.000000e+00    1.395497e+00    1.160468e+01
     135        0.000034    0.000000e+00    0.000000e+00    9.932910e-01    8.941077e+00
     136        0.000037    0.000000e+00    0.000000e+00    7.067270e-01    6.653109e+00
     137        0.000048    0.000000e+00    0.000000e+00    4.778883e-01    4.359077e+00
     138        0.000055    0.000000e+00    0.000000e+00    0.000000e+00    3.810416e+00
     139        0.000095    0.000000e+00    0.000000e+00    0.000000e+00    3.188147e+00
     201        0.000048    8.637823e+02    1.150365e-08    5.238340e+02    1.528735e+02
     202        0.000083    8.477899e+02    1.129078e-08    5.140342e+02    1.498200e+02
     203        0.000124    8.244910e+02    1.098059e-08    4.998883e+02    1.450923e+02
     204        0.000166    7.929212e+02    1.056037e-08    4.804592e+02    1.386740e+02
     205        0.000207    7.575300e+02    1.008943e-08    4.586589e+02    1.307568e+02
     206        0.000249    7.211020e+02    9.604999e-09    4.361331e+02    1.216293e+02
     207        0.000290    7.002587e+02    9.328769e-09    4.221663e+02    1.116639e+02
     208        0.000290    7.372331e+02    9.824195e-09    4.414387e+02    1.022051e+02
     210        0.000352    0.000000e+00    0.000000e+00    3.730692e+01    2.104287e+01
     251        0.000428    0.000000e+00    0.000000e+00    4.350637e+01    3.395651e+01
     301        0.000048    1.035747e+03    1.379385e-08    6.287759e+02    1.834837e+02
     302        0.000083    1.017502e+03    1.355092e-08    6.175317e+02    1.798438e+02
     303        0.000124    9.895562e+02    1.317894e-08    6.005376e+02    1.742210e+02
     304        0.000166    9.537165e+02    1.270193e-08    5.783880e+02    1.665813e+02
     305        0.000207    9.106648e+02    1.212905e-08    5.519042e+02    1.571670e+02
     306        0.000249    8.681730e+02    1.156397e-08    5.254962e+02    1.463290e+02
     307        0.000290    8.462711e+02    1.127397e-08    5.105196e+02    1.345152e+02
     308        0.000290    8.968231e+02    1.195094e-08    5.372814e+02    1.233299e+02
     340        0.000101    0.000000e+00    0.000000e+00    4.154116e+01    3.024457e+01
