
=============================================================================================================================================================================

                                                                             Core map (t=0)

=============================================================================================================================================================================
 Block average:
  Blk ID          Volume Fission neutron           Power      Absorption     Scalar flux
       9        0.001328    0.000000e+00    0.000000e+00    1.497178e+01    1.009459e+02
      20        0.001174    0.000000e+00    0.000000e+00    0.000000e+00    5.731967e+00
      40        0.001290    0.000000e+00    0.000000e+00    0.000000e+00    5.820985e+00
      71        0.000037    3.451730e+02    4.596424e-09    2.096174e+02    6.436894e+01
      72        0.000063    3.379843e+02    4.500712e-09    2.052226e+02    6.301141e+01
      73        0.000095    3.280059e+02    4.367908e-09    1.991449e+02    6.092231e+01
      74        0.000127    3.147408e+02    4.191353e-09    1.910195e+02    5.807424e+01
      75        0.000158    2.991374e+02    3.983753e-09    1.814360e+02    5.453833e+01
      76        0.000190    2.823702e+02    3.760725e-09    1.711258e+02    5.040846e+01
      77        0.000222    2.683085e+02    3.573943e-09    1.621846e+02    4.579926e+01
      78        0.000222    2.720409e+02    3.624621e-09    1.634152e+02    4.141543e+01
      79        0.000127    0.000000e+00    0.000000e+00    5.268221e+00    3.890289e+01
      81        0.000028    3.766990e+02    5.016850e-09    2.292780e+02    6.960489e+01
      82        0.000047    3.692822e+02    4.918094e-09    2.246958e+02    6.817643e+01
      83        0.000071    3.593109e+02    4.785368e-09    2.185765e+02    6.595553e+01
      84        0.000095    3.455199e+02    4.601820e-09    2.100921e+02    6.293208e+01
      85        0.000118    3.281809e+02    4.371043e-09    1.994392e+02    5.918496e+01
      86        0.000142    3.110630e+02    4.143364e-09    1.888006e+02    5.483428e+01
      87        0.000166    2.980374e+02    3.970402e-09    1.803108e+02    5.002826e+01
      88        0.000166    3.052697e+02    4.067796e-09    1.835673e+02    4.553795e+01
      89        0.000095    0.000000e+00    0.000000e+00    5.846529e+00    4.297023e+01
     101        0.000048    6.216988e+02    8.279671e-09    3.765121e+02    1.101275e+02
     102        0.000083    6.101067e+02    8.125327e-09    3.695063e+02    1.078900e+02
     103        0.000124    5.926547e+02    7.892992e-09    3.588360e+02    1.044387e+02
     104        0.000166    5.706261e+02    7.599807e-09    3.452925e+02    9.974856e+01
     105        0.000207    5.435328e+02    7.239251e-09    3.287591e+02    9.394677e+01
     106        0.000249    5.158101e+02    6.870511e-09    3.116408e+02    8.723193e+01
     107        0.000290    4.966139e+02    6.615771e-09    2.992308e+02    7.983282e+01
     108        0.000290    5.149986e+02    6.862584e-09    3.082503e+02    7.277710e+01
     124        0.000161    0.000000e+00    0.000000e+00    2.315888e+00    2.007037e+01
     125        0.000129    0.000000e+00    0.000000e+00    1.551318e+00    1.514142e+01
     126        0.000142    0.000000e+00    0.000000e+00    1.120191e+00    1.185358e+01
     127        0.000155    0.000000e+00    0.000000e+00    8.082818e-01    8.911432e+00
     128        0.000204    0.000000e+00    0.000000e+00    5.452000e-01    5.794032e+00
     129        0.000233    0.000000e+00    0.000000e+00    0.000000e+00    4.324177e+00
     130        0.000401    0.000000e+00    0.000000e+00    0.000000e+00    3.307542e+00
     133        0.000038    0.000000e+00    0.000000e+00    2.147731e+00    1.601534e+01
     134        0.000031    0.000000e+00    0.000000e+00    1.395639e+00    1.160646e+01
     135        0.000034    0.000000e+00    0.000000e+00    9.933786e-01    8.942283e+00
     136        0.000037    0.000000e+00    0.000000e+00    7.067863e-01    6.653945e+00
     137        0.000048    0.000000e+00    0.000000e+00    4.779290e-01    4.359605e+00
     138        0.000055    0.000000e+00    0.000000e+00    0.000000e+00    3.810910e+00
     139        0.000095    0.000000e+00    0.000000e+00    0.000000e+00    3.188564e+00
     201        0.000048    8.648741e+02    1.151819e-08    5.245007e+02    1.529654e+02
     202        0.000083    8.488160e+02    1.130441e-08    5.146755e+02    1.499009e+02
     203        0.000124    8.245960e+02    1.098200e-08    4.998763e+02    1.451667e+02
     204        0.000166    7.936820e+02    1.057052e-08    4.808842e+02    1.387447e+02
     205        0.000207    7.577794e+02    1.009276e-08    4.588489e+02    1.308256e+02
     206        0.000249    7.216173e+02    9.611850e-09    4.363846e+02    1.217003e+02
     207        0.000290    7.003051e+02    9.329389e-09    4.222043e+02    1.117211e+02
     208        0.000290    7.378753e+02    9.832767e-09    4.417567e+02    1.022589e+02
     210        0.000352    0.000000e+00    0.000000e+00    3.727639e+01    2.105565e+01
     251        0.000428    0.000000e+00    0.000000e+00    4.356661e+01    3.397632e+01
     301        0.000048    1.035983e+03    1.379700e-08    6.289857e+02    1.835527e+02
     302        0.000083    1.017695e+03    1.355350e-08    6.176797e+02    1.799208e+02
     303        0.000124    9.898638e+02    1.318302e-08    6.005104e+02    1.742968e+02
     304        0.000166    9.530544e+02    1.269309e-08    5.779824e+02    1.666519e+02
     305        0.000207    9.107188e+02    1.212978e-08    5.519668e+02    1.572269e+02
     306        0.000249    8.684767e+02    1.156801e-08    5.257006e+02    1.463826e+02
     307        0.000290    8.466363e+02    1.127884e-08    5.107525e+02    1.345691e+02
     308        0.000290    8.969851e+02    1.195310e-08    5.372879e+02    1.233882e+02
     340        0.000101    0.000000e+00    0.000000e+00    4.145518e+01    3.025249e+01
     401        0.000048    1.124838e+03    1.498034e-08    6.832215e+02    1.994803e+02
     402        0.000083    1.106324e+03    1.473387e-08    6.717537e+02    1.955640e+02
     403        0.000124    1.076314e+03    1.433438e-08    6.534608e+02    1.894818e+02
     404        0.000166    1.036809e+03    1.380854e-08    6.290439e+02    1.811984e+02
     405        0.000207    9.901511e+02    1.318770e-08    6.003460e+02    1.709979e+02
     406        0.000249    9.455096e+02    1.259409e-08    5.723841e+02    1.592584e+02
     407        0.000290    9.218858e+02    1.228133e-08    5.563242e+02    1.464781e+02
     408        0.000290    9.801092e+02    1.306083e-08    5.872501e+02    1.343973e+02
     410        0.000387    0.000000e+00    0.000000e+00    1.787817e+01    2.228716e+01
     501        0.000048    1.123999e+03    1.496914e-08    6.828181e+02    1.994740e+02
     502        0.000083    1.105571e+03    1.472380e-08    6.714590e+02    1.955612e+02
     503        0.000124    1.075737e+03    1.432670e-08    6.530472e+02    1.894793e+02
     504        0.000166    1.036162e+03    1.379995e-08    6.286694e+02    1.811953e+02
     505        0.000207    9.901672e+02    1.318792e-08    6.002990e+02    1.709966e+02
     506        0.000249    9.447238e+02    1.258360e-08    5.720532e+02    1.592502e+02
     507        0.000290    9.218489e+02    1.228085e-08    5.563594e+02    1.464708e+02
     508        0.000290    9.802686e+02    1.306294e-08    5.872899e+02    1.343970e+02
     601        0.000048    1.036648e+03    1.380585e-08    6.292448e+02    1.835898e+02
     602        0.000083    1.017024e+03    1.354456e-08    6.173764e+02    1.799410e+02
     603        0.000124    9.897706e+02    1.318176e-08    6.006377e+02    1.743128e+02
     604        0.000166    9.532893e+02    1.269622e-08    5.781350e+02    1.666600e+02
     605        0.000207    9.106454e+02    1.212878e-08    5.518829e+02    1.572349e+02
     606        0.000249    8.684820e+02    1.156810e-08    5.256927e+02    1.463805e+02
     607        0.000290    8.455070e+02    1.126378e-08    5.101297e+02    1.345592e+02
     608        0.000290    8.969692e+02    1.195287e-08    5.373062e+02    1.233777e+02
     701        0.000048    8.640311e+02    1.150698e-08    5.240683e+02    1.530431e+02
     702        0.000083    8.476213e+02    1.128845e-08    5.139868e+02    1.499827e+02
     703        0.000124    8.254516e+02    1.099337e-08    5.003286e+02    1.452379e+02
     704        0.000166    7.935316e+02    1.056848e-08    4.808812e+02    1.387933e+02
     705        0.000207    7.571350e+02    1.008412e-08    4.584426e+02    1.308509e+02
     706        0.000249    7.208926e+02    9.602168e-09    4.359889e+02    1.216980e+02
     707        0.000290    6.996738e+02    9.320951e-09    4.218328e+02    1.117042e+02
     708        0.000290    7.364885e+02    9.814235e-09    4.409580e+02    1.022206e+02
