
=============================================================================================================================================================================

                                                                             Core map (t=0)

=============================================================================================================================================================================
 Block average:
  Blk ID          Volume Fission neutron           Power      Absorption     Scalar flux
       9        0.001340    0.000000e+00    0.000000e+00    1.467854e+01    9.947648e+01
      20        0.001174    0.000000e+00    0.000000e+00    0.000000e+00    5.631436e+00
      40        0.001290    0.000000e+00    0.000000e+00    0.000000e+00    5.721749e+00
      71        0.000037    3.423690e+02    4.559321e-09    2.077122e+02    6.308929e+01
      72        0.000063    3.363813e+02    4.479622e-09    2.039679e+02    6.177054e+01
      73        0.000095    3.264104e+02    4.346903e-09    1.978673e+02    5.972390e+01
      74        0.000127    3.129410e+02    4.167602e-09    1.896724e+02    5.693415e+01
      75        0.000158    2.975676e+02    3.963046e-09    1.802862e+02    5.346488e+01
      76        0.000190    2.803290e+02    3.733721e-09    1.696559e+02    4.941945e+01
      77        0.000222    2.674125e+02    3.562194e-09    1.613605e+02    4.491454e+01
      78        0.000222    2.717608e+02    3.621067e-09    1.628986e+02    4.062860e+01
      79        0.000127    0.000000e+00    0.000000e+00    5.143831e+00    3.816009e+01
      81        0.000028    3.744159e+02    4.986673e-09    2.276024e+02    6.814802e+01
      82        0.000047    3.665814e+02    4.882369e-09    2.228078e+02    6.673958e+01
      83        0.000071    3.559582e+02    4.740965e-09    2.162050e+02    6.455975e+01
      84        0.000095    3.423978e+02    4.560456e-09    2.079347e+02    6.160020e+01
      85        0.000118    3.261271e+02    4.343926e-09    1.978839e+02    5.794450e+01
      86        0.000142    3.088776e+02    4.114468e-09    1.872214e+02    5.370006e+01
      87        0.000166    2.960506e+02    3.944124e-09    1.789093e+02    4.901248e+01
      88        0.000166    3.042963e+02    4.055020e-09    1.825721e+02    4.463747e+01
      89        0.000095    0.000000e+00    0.000000e+00    5.702449e+00    4.212063e+01
     101        0.000049    6.177601e+02    8.227668e-09    3.737420e+02    1.080480e+02
     102        0.000084    6.065003e+02    8.077721e-09    3.669091e+02    1.058626e+02
     103        0.000126    5.895841e+02    7.852529e-09    3.565864e+02    1.024786e+02
     104        0.000167    5.664785e+02    7.544948e-09    3.424851e+02    9.787251e+01
     105        0.000209    5.400422e+02    7.193131e-09    3.263216e+02    9.219341e+01
     106        0.000251    5.130458e+02    6.834048e-09    3.095915e+02    8.562962e+01
     107        0.000293    4.950193e+02    6.594862e-09    2.978596e+02    7.840523e+01
     108        0.000293    5.147994e+02    6.860264e-09    3.075374e+02    7.151168e+01
     124        0.000161    0.000000e+00    0.000000e+00    2.275093e+00    1.968862e+01
     125        0.000129    0.000000e+00    0.000000e+00    1.524142e+00    1.486368e+01
     126        0.000142    0.000000e+00    0.000000e+00    1.100794e+00    1.164261e+01
     127        0.000155    0.000000e+00    0.000000e+00    7.945269e-01    8.757149e+00
     128        0.000204    0.000000e+00    0.000000e+00    5.361888e-01    5.696854e+00
     129        0.000233    0.000000e+00    0.000000e+00    0.000000e+00    4.254173e+00
     130        0.000401    0.000000e+00    0.000000e+00    0.000000e+00    3.254432e+00
     133        0.000038    0.000000e+00    0.000000e+00    2.111762e+00    1.572013e+01
     134        0.000031    0.000000e+00    0.000000e+00    1.372437e+00    1.140146e+01
     135        0.000034    0.000000e+00    0.000000e+00    9.770613e-01    8.789216e+00
     136        0.000037    0.000000e+00    0.000000e+00    6.953634e-01    6.543178e+00
     137        0.000048    0.000000e+00    0.000000e+00    4.704059e-01    4.289319e+00
     138        0.000055    0.000000e+00    0.000000e+00    0.000000e+00    3.751294e+00
     139        0.000095    0.000000e+00    0.000000e+00    0.000000e+00    3.138951e+00
     201        0.000049    8.598939e+02    1.145248e-08    5.210574e+02    1.504339e+02
     202        0.000084    8.445613e+02    1.124835e-08    5.117682e+02    1.474318e+02
     203        0.000126    8.213480e+02    1.093930e-08    4.973928e+02    1.427847e+02
     204        0.000167    7.907774e+02    1.053240e-08    4.786763e+02    1.364772e+02
     205        0.000209    7.542862e+02    1.004676e-08    4.563782e+02    1.287037e+02
