time,Flux1,Flux10,Flux10L0M0,Flux10L1M0,Flux10L1M1,Flux11,Flux11L0M0,Flux11L1M0,Flux11L1M1,Flux12,Flux12L0M0,Flux12L1M0,Flux12L1M1,Flux13,Flux13L0M0,Flux13L1M0,Flux13L1M1,Flux14,Flux14L0M0,Flux14L1M0,Flux14L1M1,Flux15,Flux15L0M0,Flux15L1M0,Flux15L1M1,Flux16,Flux16L0M0,Flux16L1M0,Flux16L1M1,Flux17,Flux17L0M0,Flux17L1M0,Flux17L1M1,Flux18,Flux18L0M0,Flux18L1M0,Flux18L1M1,Flux1L0M0,Flux1L1M0,Flux1L1M1,Flux2,Flux2L0M0,Flux2L1M0,Flux2L1M1,Flux3,Flux3L0M0,Flux3L1M0,Flux3L1M1,Flux4,Flux4L0M0,Flux4L1M0,Flux4L1M1,Flux5,Flux5L0M0,Flux5L1M0,Flux5L1M1,Flux6,Flux6L0M0,Flux6L1M0,Flux6L1M1,Flux7,Flux7L0M0,Flux7L1M0,Flux7L1M1,Flux8,Flux8L0M0,Flux8L1M0,Flux8L1M1,Flux9,Flux9L0M0,Flux9L1M0,Flux9L1M1,activecore_vol,barrel_vol,eigenvalue,extref_vol,integrated_power,intref_vol,power_scaling,Flux10_aux,Flux11_aux,Flux12_aux,Flux13_aux,Flux14_aux,Flux15_aux,Flux16_aux,Flux17_aux,Flux18_aux,Flux1_aux,Flux2_aux,Flux3_aux,Flux4_aux,Flux5_aux,Flux6_aux,Flux7_aux,Flux8_aux,Flux9_aux
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426.63198357178,9.6061816294261,0,614.50700472718,0,6.8929237755841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.20629549845219,1.8822469140686,1.8822466687235,1.006742932159e-07,1.4467087399552e-07,1.2672273149123,1.2672271543482,6.6960311675675e-08,9.3603732321056e-08,0.91442940269095,0.91442929314866,4.5924031062344e-08,6.3618260774798e-08,0.96835686484001,0.96835674875824,4.8842365934012e-08,6.7239406612195e-08,0.86970660037752,0.86970648898577,4.7093344004775e-08,6.4298401892091e-08,0.6915620328578,0.69156195238752,3.367166909932e-08,4.6798604905426e-08,1.1368707876787,1.1368706505292,5.4841607347489e-08,8.2307894447777e-08,0.90576957743391,0.90576943645643,9.0057923522037e-08,5.0919554266585e-08,0.1690277211037,0.16902767223405,6.9018157580784e-08,-2.0148509931e-08,0.20629543245103,3.1448190510435e-08,3.455296742805e-08,1.4506941918583,1.4506937827207,1.9113415990065e-07,2.1800344076556e-07,3.7079421020652,3.7079415140258,2.8645842463002e-07,3.0158095312847e-07,2.5523692688616,2.5523688451732,2.1696649483268e-07,2.0672184183471e-07,3.11644049938,3.1164400907422,2.2494416946438e-07,1.8369361897653e-07,4.0600136967551,4.0600133756265,1.9538340608006e-07,1.2574522817461e-07,3.3143604178707,3.3143601929728,1.0838317528394e-07,1.1651471239858e-07,2.2237641635483,2.2237639432641,8.9047371032459e-08,1.3123679573224e-07,2.083280590909,2.0832803187177,1.0976358540706e-07,1.6242768425883e-07,426.63198357178,9.6061816294261,1.1416984145163,614.50700472718,0,6.8929237755841,0,1.8822469140686,1.2672273149123,0.91442940269095,0.96835686484001,0.86970660037752,0.6915620328578,1.1368707876787,0.90576957743391,0.1690277211037,0.20629549845219,1.4506941918583,3.7079421020652,2.5523692688616,3.11644049938,4.0600136967551,3.3143604178707,2.2237641635483,2.083280590909
