x,y,z,nuFissRate,nuFissRateRelError
-1.4478,0.835888,0,0.003657261,0.0
-1.44942,0.407787,0,0.003657261,0.0
-1.08187,0.624615,0,0.003657261,0.0
-1.08741,0.20167,0,0.003657261,0.0
-0.7239,0.417944,0,0.003657261,0.0
-1.80343,0.198028,0,0.003657261,0.0
-1.80975,0.626916,0,0.003657261,0.0
-2.1717,0.417944,0,0.003657261,0.0
-1.79717,-0.208972,0,0.003657261,0.0
-2.1717,-1.44329e-15,0,0.003657261,0.0
-2.1717,-0.417944,0,0.003657261,0.0
-1.44151,-0.407045,0,0.003657261,0.0
-1.80975,-0.626916,0,0.003657261,0.0
-1.4478,-0.835888,0,0.003657261,0.0
-1.09298,-0.208972,0,0.003657261,0.0
-0.7239,-0.417944,0,0.003657261,0.0
-0.7239,-1.33227e-15,0,0.003657261,0.0
-1.45232,0.0178779,0,0.003657261,0.0
-1.08187,-0.624615,0,0.003657261,0.0
0.7239,2.08972,0,0.003657261,0.0
0.717599,1.66086,0,0.003657261,0.0
1.08585,1.88075,0,0.003657261,0.0
1.07956,1.4519,0,0.003657261,0.0
1.4478,1.67178,0,0.003657261,0.0
0.368253,1.45189,0,0.003657261,0.0
0.36195,1.88075,0,0.003657261,0.0
1.44329e-15,1.67178,0,0.003657261,0.0
0.365513,1.05103,0,0.003657261,0.0
1.77636e-15,0.835888,0,0.003657261,0.0
0.36195,0.626916,0,0.003657261,0.0
0.718359,0.840883,0,0.003657261,0.0
0.7239,0.417944,0,0.003657261,0.0
1.08187,0.624615,0,0.003657261,0.0
1.07327,1.04486,0,0.003657261,0.0
1.4478,0.835888,0,0.003657261,0.0
1.4478,1.25383,0,0.003657261,0.0
1.44329e-15,1.24923,0,0.003657261,0.0
0.711754,1.26303,0,0.003657261,0.0
-0.7239,2.08972,0,0.003657261,0.0
-0.730201,1.66086,0,0.003657261,0.0
-0.36195,1.88075,0,0.003657261,0.0
-0.368242,1.4519,0,0.003657261,0.0
-1.07953,1.45186,0,0.003657261,0.0
-1.08585,1.88075,0,0.003657261,0.0
-1.07325,1.04486,0,0.003657261,0.0
-1.4478,1.25383,0,0.003657261,0.0
-0.727439,0.842018,0,0.003657261,0.0
-0.36195,0.626916,0,0.003657261,0.0
-0.369046,1.04256,0,0.003657261,0.0
-1.4478,1.67178,0,0.003657261,0.0
-0.728548,1.26451,0,0.003657261,0.0
1.4415,0.407029,0,0.003657261,0.0
1.80975,0.626916,0,0.003657261,0.0
1.80346,0.198073,0,0.003657261,0.0
2.1717,0.417944,0,0.003657261,0.0
1.08741,0.20166,0,0.003657261,0.0
1.09294,-0.208972,0,0.003657261,0.0
0.7239,-1.33227e-15,0,0.003657261,0.0
0.7239,-0.417944,0,0.003657261,0.0
1.44943,-0.407762,0,0.003657261,0.0
1.08187,-0.624615,0,0.003657261,0.0
1.4478,-0.835888,0,0.003657261,0.0
1.79717,-0.208972,0,0.003657261,0.0
2.1717,-0.417944,0,0.003657261,0.0
2.1717,-1.44329e-15,0,0.003657261,0.0
1.80975,-0.626916,0,0.003657261,0.0
1.43718,0.0170115,0,0.003657261,0.0
-0.00319238,0.412302,0,0.003657261,0.0
0.358757,0.203354,0,0.003657261,0.0
-0.358641,0.203346,0,0.003657261,0.0
-0.358783,-0.20347,0,0.003657261,0.0
-0.36195,-0.626916,0,0.003657261,0.0
0.00312331,-0.412534,0,0.003657261,0.0
1.44329e-15,-0.835888,0,0.003657261,0.0
0.358827,-0.203562,0,0.003657261,0.0
0.36195,-0.626916,0,0.003657261,0.0
-0.00621989,0.0105413,0,0.003657261,0.0
0.718354,-0.84089,0,0.003657261,0.0
1.07788,-1.05132,0,0.003657261,0.0
0.365497,-1.051,0,0.003657261,0.0
0.371541,-1.45913,0,0.003657261,0.0
1.44329e-15,-1.24923,0,0.003657261,0.0
1.77636e-15,-1.67178,0,0.003657261,0.0
0.717608,-1.66088,0,0.003657261,0.0
0.7239,-2.08972,0,0.003657261,0.0
1.08585,-1.88075,0,0.003657261,0.0
1.07327,-1.4628,0,0.003657261,0.0
1.4478,-1.67178,0,0.003657261,0.0
1.4478,-1.25383,0,0.003657261,0.0
0.713715,-1.23554,0,0.003657261,0.0
0.36195,-1.88075,0,0.003657261,0.0
-0.727443,-0.842025,0,0.003657261,0.0
-0.365489,-1.05099,0,0.003657261,0.0
-1.07786,-1.05134,0,0.003657261,0.0
-1.07327,-1.4628,0,0.003657261,0.0
-1.4478,-1.25383,0,0.003657261,0.0
-1.4478,-1.67178,0,0.003657261,0.0
-0.730192,-1.66088,0,0.003657261,0.0
-0.7239,-2.08972,0,0.003657261,0.0
-0.36195,-1.88075,0,0.003657261,0.0
-0.733952,-1.23659,0,0.003657261,0.0
-0.368295,-1.45179,0,0.003657261,0.0
-1.08585,-1.88075,0,0.003657261,0.0
-2.1717,2.08972,0,0.003589358,0.10784052893949732
-2.17332,1.66162,0,0.003589358,0.10784052893949732
-1.80577,1.87845,0,0.003589358,0.10784052893949732
-1.81131,1.45549,0,0.003589358,0.10784052893949732
-1.4478,1.67178,0,0.003589358,0.10784052893949732
-2.52736,1.4519,0,0.003589358,0.10784052893949732
-2.53365,1.88075,0,0.003589358,0.10784052893949732
-2.8956,1.67178,0,0.003589358,0.10784052893949732
-1.81686,1.04487,0,0.003589358,0.10784052893949732
-1.4478,0.835888,0,0.003589358,0.10784052893949732
-1.4478,1.25383,0,0.003589358,0.10784052893949732
-2.52107,1.04486,0,0.003589358,0.10784052893949732
-2.8956,1.25383,0,0.003589358,0.10784052893949732
-2.8956,0.835888,0,0.003589358,0.10784052893949732
-2.16612,0.840944,0,0.003589358,0.10784052893949732
-2.52967,0.624615,0,0.003589358,0.10784052893949732
-2.1717,0.417944,0,0.003589358,0.10784052893949732
-2.15811,1.26712,0,0.003589358,0.10784052893949732
-1.80975,0.626916,0,0.003589358,0.10784052893949732
-1.4478,3.34355,0,0.003589358,0.10784052893949732
-1.4541,2.91469,0,0.003589358,0.10784052893949732
-1.08585,3.13458,0,0.003589358,0.10784052893949732
-1.09214,2.70574,0,0.003589358,0.10784052893949732
-0.7239,2.92561,0,0.003589358,0.10784052893949732
-1.80343,2.70569,0,0.003589358,0.10784052893949732
-1.80975,3.13458,0,0.003589358,0.10784052893949732
-1.80178,2.30515,0,0.003589358,0.10784052893949732
-1.45136,2.09589,0,0.003589358,0.10784052893949732
-1.08585,1.88075,0,0.003589358,0.10784052893949732
-1.09295,2.29639,0,0.003589358,0.10784052893949732
-0.7239,2.08972,0,0.003589358,0.10784052893949732
-0.7239,2.50306,0,0.003589358,0.10784052893949732
-2.1717,2.92561,0,0.003589358,0.10784052893949732
-2.1717,2.50766,0,0.003589358,0.10784052893949732
-1.45243,2.51836,0,0.003589358,0.10784052893949732
1.77636e-15,3.34355,0,0.003589358,0.10784052893949732
-0.00630173,2.91469,0,0.003589358,0.10784052893949732
0.36195,3.13458,0,0.003589358,0.10784052893949732
0.355658,2.70574,0,0.003589358,0.10784052893949732
0.7239,2.92561,0,0.003589358,0.10784052893949732
-0.355632,2.70569,0,0.003589358,0.10784052893949732
-0.36195,3.13458,0,0.003589358,0.10784052893949732
-0.358411,2.30482,0,0.003589358,0.10784052893949732
-0.36195,1.88075,0,0.003589358,0.10784052893949732
0.0035394,2.09585,0,0.003589358,0.10784052893949732
1.44329e-15,1.67178,0,0.003589358,0.10784052893949732
-0.00620028,2.52089,0,0.003589358,0.10784052893949732
0.354854,2.29639,0,0.003589358,0.10784052893949732
0.7239,2.08972,0,0.003589358,0.10784052893949732
0.7239,2.50306,0,0.003589358,0.10784052893949732
0.36195,1.88075,0,0.003589358,0.10784052893949732
1.4478,3.34355,0,0.003589358,0.10784052893949732
1.4415,2.91469,0,0.003589358,0.10784052893949732
1.80975,3.13458,0,0.003589358,0.10784052893949732
1.80346,2.70574,0,0.003589358,0.10784052893949732
2.1717,2.92561,0,0.003589358,0.10784052893949732
1.09216,2.7057,0,0.003589358,0.10784052893949732
1.08585,3.13458,0,0.003589358,0.10784052893949732
1.08939,2.30482,0,0.003589358,0.10784052893949732
1.08585,1.88075,0,0.003589358,0.10784052893949732
1.43456,2.52051,0,0.003589358,0.10784052893949732
1.45134,2.09585,0,0.003589358,0.10784052893949732
1.4478,1.67178,0,0.003589358,0.10784052893949732
1.79717,2.29869,0,0.003589358,0.10784052893949732
2.1717,2.08972,0,0.003589358,0.10784052893949732
2.1717,2.50766,0,0.003589358,0.10784052893949732
1.80577,1.87845,0,0.003589358,0.10784052893949732
-2.89722,0.407787,0,0.003589358,0.10784052893949732
-2.53521,0.20167,0,0.003589358,0.10784052893949732
-3.25123,0.198028,0,0.003589358,0.10784052893949732
-3.25755,0.626916,0,0.003589358,0.10784052893949732
-3.6195,0.417944,0,0.003589358,0.10784052893949732
-3.24497,-0.208972,0,0.003589358,0.10784052893949732
-3.6195,-1.33227e-15,0,0.003589358,0.10784052893949732
-3.6195,-0.417944,0,0.003589358,0.10784052893949732
-2.88931,-0.407045,0,0.003589358,0.10784052893949732
-3.25755,-0.626916,0,0.003589358,0.10784052893949732
-2.8956,-0.835888,0,0.003589358,0.10784052893949732
-2.54078,-0.208972,0,0.003589358,0.10784052893949732
-2.1717,-0.417944,0,0.003589358,0.10784052893949732
-2.1717,-1.44329e-15,0,0.003589358,0.10784052893949732
-2.52967,-0.624615,0,0.003589358,0.10784052893949732
-2.90012,0.0178779,0,0.003589358,0.10784052893949732
2.1654,1.66086,0,0.003589358,0.10784052893949732
2.53365,1.88075,0,0.003589358,0.10784052893949732
2.52736,1.4519,0,0.003589358,0.10784052893949732
2.8956,1.67178,0,0.003589358,0.10784052893949732
1.81131,1.45549,0,0.003589358,0.10784052893949732
1.81684,1.04486,0,0.003589358,0.10784052893949732
1.4478,1.25383,0,0.003589358,0.10784052893949732
1.4478,0.835888,0,0.003589358,0.10784052893949732
2.16616,0.840883,0,0.003589358,0.10784052893949732
2.1717,0.417944,0,0.003589358,0.10784052893949732
2.52967,0.624615,0,0.003589358,0.10784052893949732
2.52107,1.04486,0,0.003589358,0.10784052893949732
2.8956,0.835888,0,0.003589358,0.10784052893949732
2.8956,1.25383,0,0.003589358,0.10784052893949732
2.15944,1.26324,0,0.003589358,0.10784052893949732
