norm_RefnuFissRate,norm_griffnuFissRate,nuFissRateRelError,norm_RefscalarFlux,norm_griffscalarFlux,scalarFluxRelError,matid
0.0,0.0,0.0,0.4154921684138231,0.43994539804489774,5.885364752945153,900
0.0,0.0,0.0,0.1436244449556018,0.055081947199471404,61.648626585468286,9300
0.0,0.0,0.0,0.09862024715886517,0.09847079112259252,0.1515470104550523,7100
0.0,0.0,0.0,0.01412205456966792,0.014334797866059793,1.5064613675181056,6200
0.0,0.0,0.0,0.051104320303541284,0.053120880564863235,3.945968265196187,6100
0.0,0.0,0.0,0.1565458973188533,0.15813645083564104,1.016030150919957,7300
0.0,0.0,0.0,0.01142952205767601,0.011355901955055666,0.6441223198034037,6000
0.0,0.0,0.0,0.04093488598352298,0.042421334369642835,3.6312508277613733,5900
0.0,0.0,0.0,0.14178023567494216,0.1429932383600402,0.8555513251360798,7400
0.0,0.0,0.0,0.14717331535398506,0.057894707412641765,60.662225163989866,9200
0.0,0.0,0.0,0.10534631564304994,0.10557897037245169,0.2208475236951442,7200
0.31163563625487667,0.2964368428153668,4.877103794085751,0.32532131353826127,0.31414166406890337,3.4364946298063725,2100
0.30325477966547604,0.2898862922392437,4.408335275367877,0.31653705287769895,0.3074174878161408,2.881041880768912,2200
0.2919019192817068,0.2806979419557926,3.838267783056781,0.30324176137912856,0.29680300380648034,2.1233083277728872,2300
0.27611942900720265,0.267347039790132,3.1770271467719864,0.28621714135048687,0.2820498052958957,1.4560050578829868,2400
0.25701643567527976,0.25140767541356074,2.18225742917284,0.2643349843470643,0.2632975890427044,0.3924547887304437,2500
0.23484869722118717,0.23199832028976597,1.2137077893758295,0.23889859086391596,0.24070562239845075,0.7564010854982954,2600
0.2111206249195361,0.21129804717718467,0.08403833482218996,0.2102327037364405,0.21446336734422855,2.0123717825994545,2700
0.19266416386140844,0.1977307146672074,2.6297318111756085,0.1823652583555223,0.1884960325281898,3.361810373286951,2800
0.0,0.0,0.0,0.16632742782051005,0.1741703116896551,4.715328056181207,3100
0.33781256990092606,0.3164716185652688,6.31739409280009,0.34915053021665726,0.3349958086312839,4.054045564985955,1100
0.3301754512828478,0.3096626448889786,6.212698828507612,0.33974074403168464,0.32776927388905425,3.5237075190233638,1200
0.31807525681128207,0.2999383680465465,5.702074706017264,0.3264417866004128,0.31653710467984136,3.034134209262687,1300
0.30151836143369987,0.2863933890948166,5.016269081247665,0.30826083587638653,0.30094703032556613,2.3726029062456875,1400
0.28038337624658227,0.2697384713519192,3.7965535036932607,0.28457873293596087,0.28115244699980474,1.2039852383934635,1500
0.2559614705504227,0.24931059231340963,2.5983903837991384,0.25738424323788733,0.2574347518751657,0.019623826479410113,1600
0.22966034665522886,0.22804205981652517,0.7046435583122646,0.22655656485768733,0.23009053263233328,1.5598611220406866,1700
0.20994540379675197,0.2157260475635819,2.7534033431025584,0.19649627326384628,0.20354684384577065,3.58814468326185,1800
0.0,0.0,0.0,0.17921537857189584,0.18906712107720272,5.497152411702578,2000
0.5042432832482667,0.48874306740316315,3.0739558383908054,0.504676835771696,0.4950227787726163,1.9129185876577353,101
0.4923640955073885,0.47954401934540797,2.6037796579722725,0.49144491900745774,0.48460330174546395,1.3921432488937706,201
0.47415999324350105,0.46275218605824536,2.405898293363039,0.47178054994116564,0.4681831080618263,0.7625244151731105,301
0.44849642125806943,0.44246904630938755,1.3439070331430074,0.4448436214128951,0.44537134501697745,0.1186312624661763,401
0.4180283609759243,0.4160200766886716,0.48041819042233763,0.4111367514920428,0.4163417715207795,1.2660069939861416,501
0.382213949853983,0.3846799888551545,0.6451985863188883,0.37256289862670944,0.38136045444781336,2.3613612234423424,601
0.34495869803957047,0.35264294900913856,2.227585798890808,0.328530694696411,0.34077863934984626,3.7280975114831674,701
0.31811388970562976,0.33330975565165805,4.776863393198565,0.2852670171827952,0.300071339471976,5.189636865622786,801
0.6567828449222588,0.6424694454800706,2.1793199309099593,0.6564874589216361,0.6482134611199877,1.2603436195475055,102
0.6412264366845438,0.6291118372469356,1.8892857100912144,0.6396955360271843,0.6347516887791071,0.7728437935929381,202
0.6165746203273835,0.6095240528278448,1.1435059548502087,0.6136052802543495,0.613505945965592,0.016188630045073545,302
0.5849268150693911,0.5814954051462681,0.5866391888215962,0.5792897206048333,0.5838359947010289,0.7848014446810532,402
0.5441295577180063,0.5468996812222925,0.5090926351995365,0.5354944468985819,0.5459449963817701,1.9515700944640004,502
0.49800603308380204,0.5064938683391386,1.7043639416930993,0.4847619755254091,0.500229022537402,3.1906477390741936,602
0.4513603553116223,0.4638623595617744,2.769849877825593,0.42802560701686526,0.44720086930711245,4.4799334376019315,702
0.4196498652586891,0.4417560476354326,5.267768253211843,0.3723957243382601,0.3938373133862391,5.75774307991325,802
0.7857902156949962,0.7747420758631866,1.4059910153040083,0.7855640851341424,0.7801257829984665,0.6922798837917005,103
0.7667993058508916,0.7600169887042679,0.8844970378654143,0.7647301124832514,0.7640299020025842,0.09156308470623839,203
0.737338213268294,0.7360170110578261,0.17918537066070758,0.733586255283137,0.7386170207313157,0.6857769501470581,303
0.6995542051451498,0.7020439135651769,0.3558992858188269,0.6919855146987802,0.7030689020011863,1.601679091105061,403
0.651213926305174,0.6604379541065482,1.4164358943778956,0.6405222795550797,0.6576315761270448,2.671147767701323,503
0.5966885806786348,0.6118234356301349,2.536474710859494,0.5796040255708921,0.6027211511982095,3.9884342770993912,603
0.5405610298139758,0.5603800743575148,3.666384265687699,0.5120056344289007,0.5388678970978208,5.246477941377092,703
