norm_RefnuFissRate,norm_griffnuFissRate,nuFissRateRelError,norm_RefscalarFlux,norm_griffscalarFlux,scalarFluxRelError,matid
0.0,0.0,0.0,0.3534980135412083,0.3607050305083493,2.0387715605368872,900
0.2433148332294365,0.23884848233903805,1.8356262259551026,0.27378551497473597,0.27194363945392247,0.6727439619964769,101
0.23800099408862135,0.23383300943986,1.7512467394188216,0.26693035273966426,0.2652571781066879,0.6268206728098006,201
0.2289263832103011,0.2248343595427977,1.7874845223690476,0.25545481349573895,0.25486597196605,0.23050711851189604,301
0.21634498172031694,0.21346247440132882,1.3323661570826368,0.24038540259615115,0.24063748318247943,0.10486518050007228,401
0.2008358474453817,0.19937463557741844,0.7275652661363807,0.2218014519834196,0.22286686068585448,0.48034343008472313,501
0.18334653834465722,0.18276633308919707,0.3164528006356334,0.20011208767118785,0.20196527215696303,0.9260732359257673,601
0.16457183368169323,0.1650681058714205,0.30155353964588305,0.17603129964311692,0.1784309089662895,1.3631719631892163,701
0.15175046358111105,0.15394044749565747,1.4431480885564905,0.1533190288174366,0.15606077642073873,1.788263090661017,801
0.4864053356226582,0.48586627532461185,0.11082532582753898,0.49649442050897796,0.4973018805588307,0.16263225053464908,102
0.47390068413215686,0.4745001598538169,0.12649817603826238,0.4835862928364415,0.4851928806920616,0.3322236133279946,202
0.45629419437955987,0.4566274170677719,0.07302803592868512,0.46350888881633023,0.4663387747526564,0.6105354189760811,302
0.43070693637178264,0.43346816261782856,0.6410916595182121,0.43621323160062336,0.44051237700202617,0.9855605217722746,402
0.3995049610034599,0.4044110829264584,1.228050312735918,0.40218962765551386,0.4082215823371175,1.4997787776790064,502
0.3643766091621835,0.37069998323401576,1.735395168853369,0.36261521912568856,0.3701361266140777,2.0740738644458974,602
0.32680616881039226,0.333969037910809,2.191779037247161,0.31856943488242156,0.326731636653762,2.562142151004833,702
0.298833120147138,0.30909490157960007,3.4339505030130013,0.2749260649525575,0.2836041592702948,3.1565193061032017,802
0.6796081112853509,0.6826735432090636,0.45105876060175054,0.6838045146803743,0.6860608842376994,0.3299728955986477,103
0.6638283714264358,0.6653660923921122,0.2316443574672975,0.6658752081165784,0.6693107492739683,0.5159436956824478,203
0.6378175065245746,0.6419421118759507,0.6466748418134296,0.6383201016736294,0.6433522757464977,0.78834648316327,303
0.6028591029193874,0.608978014839593,1.0149820896083976,0.6008251443576266,0.6077441842376224,1.151589600563967,403
0.5594652855862482,0.5687473909209819,1.6591029995734703,0.5538941270261465,0.5631545548430223,1.6718768741230439,503
0.5099793646412764,0.5204836205837413,2.0597413681343237,0.4991538095108881,0.5104459232481862,2.2622513385930056,603
0.4570884589693867,0.46952310617347975,2.7204027929582546,0.4380636356338141,0.4503587609366829,2.806698457195506,703
0.41936564703987544,0.4342735407654384,3.554867650889256,0.37753096270851627,0.39033205313527874,3.3907392217379337,803
